Action_Cash,Action_XOM,Action_CVX,Action_OKE,Action_VLO,Action_SHEL,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_XOM_close_L1,State_XOM_high_L1,State_XOM_low_L1,State_XOM_open_L1,State_CVX_close_L1,State_CVX_high_L1,State_CVX_low_L1,State_CVX_open_L1,State_OKE_close_L1,State_OKE_high_L1,State_OKE_low_L1,State_OKE_open_L1,State_VLO_close_L1,State_VLO_high_L1,State_VLO_low_L1,State_VLO_open_L1,State_SHEL_close_L1,State_SHEL_high_L1,State_SHEL_low_L1,State_SHEL_open_L1
0.08796921,0.4510651,0.10048997,0.11665135,0.10702395,0.13680047,1.0,1.0,1.0,1.0,0.63959019,0.64141969,0.62147823,0.64141969,0.64507867,0.65184779,0.64032199,0.65184779,0.64196853,0.64581046,0.63629711,0.64581046,0.63904135,0.64032199,0.62989389,0.64032199,0.65477497,0.65605562,0.64141969,0.65605562
0.07324407,0.5162825,0.08861447,0.10506807,0.08975007,0.1270407,1.0,1.0,1.0,1.0,0.64507867,0.65184779,0.64032199,0.65184779,0.64196853,0.64581046,0.63629711,0.64581046,0.63904135,0.64032199,0.62989389,0.64032199,0.65477497,0.65605562,0.64141969,0.65605562,0.66154409,0.68294914,0.65806806,0.68294914
0.07635828,0.5113031,0.08771879,0.10498853,0.09462498,0.12500629,1.0,1.0,1.0,1.0,0.64196853,0.64581046,0.63629711,0.64581046,0.63904135,0.64032199,0.62989389,0.64032199,0.65477497,0.65605562,0.64141969,0.65605562,0.66154409,0.68294914,0.65806806,0.68294914,0.66136114,0.67416758,0.65459202,0.67416758
0.07209156,0.53838235,0.08178192,0.09967967,0.08984632,0.11821812,1.0,1.0,1.0,1.0,0.63904135,0.64032199,0.62989389,0.64032199,0.65477497,0.65605562,0.64141969,0.65605562,0.66154409,0.68294914,0.65806806,0.68294914,0.66136114,0.67416758,0.65459202,0.67416758,0.64526162,0.65806806,0.64379802,0.65806806
0.06561079,0.57470363,0.07423745,0.09255327,0.08287366,0.11002121,1.0,1.0,1.0,1.0,0.65477497,0.65605562,0.64141969,0.65605562,0.66154409,0.68294914,0.65806806,0.68294914,0.66136114,0.67416758,0.65459202,0.67416758,0.64526162,0.65806806,0.64379802,0.65806806,0.64800585,0.6492865,0.63629711,0.6492865
0.05422237,0.6339909,0.06304554,0.08081455,0.07032614,0.0976005,1.0,1.0,1.0,1.0,0.66154409,0.68294914,0.65806806,0.68294914,0.66136114,0.67416758,0.65459202,0.67416758,0.64526162,0.65806806,0.64379802,0.65806806,0.64800585,0.6492865,0.63629711,0.6492865,0.63977314,0.64763996,0.63721186,0.64763996
0.04374069,0.69482106,0.05120351,0.06760638,0.05919529,0.08343313,1.0,1.0,1.0,1.0,0.66136114,0.67416758,0.65459202,0.67416758,0.64526162,0.65806806,0.64379802,0.65806806,0.64800585,0.6492865,0.63629711,0.6492865,0.63977314,0.64763996,0.63721186,0.64763996,0.63648006,0.64800585,0.63446762,0.64800585
0.0343403,0.75124764,0.04023787,0.05497862,0.04949199,0.06970352,1.0,1.0,1.0,1.0,0.64526162,0.65806806,0.64379802,0.65806806,0.64800585,0.6492865,0.63629711,0.6492865,0.63977314,0.64763996,0.63721186,0.64763996,0.63648006,0.64800585,0.63446762,0.64800585,0.62952799,0.63995609,0.6280644,0.63995609
0.03341237,0.76173925,0.03687197,0.05091569,0.05211106,0.06494963,1.0,1.0,1.0,1.0,0.64800585,0.6492865,0.63629711,0.6492865,0.63977314,0.64763996,0.63721186,0.64763996,0.63648006,0.64800585,0.63446762,0.64800585,0.62952799,0.63995609,0.6280644,0.63995609,0.61983169,0.6284303,0.61964874,0.6284303
0.04628917,0.7043307,0.04137915,0.05692934,0.07885856,0.07221314,1.0,1.0,1.0,1.0,0.63977314,0.64763996,0.63721186,0.64763996,0.63648006,0.64800585,0.63446762,0.64800585,0.62952799,0.63995609,0.6280644,0.63995609,0.61983169,0.6284303,0.61964874,0.6284303,0.61525796,0.62019759,0.61068423,0.62019759
0.0700373,0.60973454,0.04797647,0.06468666,0.12840803,0.07915709,1.0,1.0,1.0,1.0,0.63648006,0.64800585,0.63446762,0.64800585,0.62952799,0.63995609,0.6280644,0.63995609,0.61983169,0.6284303,0.61964874,0.6284303,0.61525796,0.62019759,0.61068423,0.62019759,0.63336992,0.6377607,0.61635565,0.6377607
0.09291372,0.54647565,0.04881866,0.06239427,0.1760184,0.0733792,1.0,1.0,1.0,1.0,0.62952799,0.63995609,0.6280644,0.63995609,0.61983169,0.6284303,0.61964874,0.6284303,0.61525796,0.62019759,0.61068423,0.62019759,0.63336992,0.6377607,0.61635565,0.6377607,0.61324552,0.63117453,0.61050128,0.63117453
0.12315255,0.44197845,0.04982612,0.06033542,0.25581127,0.06889614,1.0,1.0,1.0,1.0,0.61983169,0.6284303,0.61964874,0.6284303,0.61525796,0.62019759,0.61068423,0.62019759,0.63336992,0.6377607,0.61635565,0.6377607,0.61324552,0.63117453,0.61050128,0.63117453,0.60025613,0.61269667,0.60007318,0.61269667
0.09985378,0.554965,0.03722836,0.04388564,0.21370783,0.05035932,1.0,1.0,1.0,1.0,0.61525796,0.62019759,0.61068423,0.62019759,0.63336992,0.6377607,0.61635565,0.6377607,0.61324552,0.63117453,0.61050128,0.63117453,0.60025613,0.61269667,0.60007318,0.61269667,0.59623125,0.60464691,0.58964508,0.60464691
0.09177586,0.5614501,0.02739546,0.03239699,0.24834427,0.03863732,1.0,1.0,1.0,1.0,0.63336992,0.6377607,0.61635565,0.6377607,0.61324552,0.63117453,0.61050128,0.63117453,0.60025613,0.61269667,0.60007318,0.61269667,0.59623125,0.60464691,0.58964508,0.60464691,0.61050128,0.61379437,0.5964142,0.61379437
0.11640328,0.3858887,0.01898051,0.0214286,0.43191794,0.02538094,1.0,1.0,1.0,1.0,0.61324552,0.63117453,0.61050128,0.63117453,0.60025613,0.61269667,0.60007318,0.61269667,0.59623125,0.60464691,0.58964508,0.60464691,0.61050128,0.61379437,0.5964142,0.61379437,0.59915843,0.61086718,0.59860959,0.61086718
0.08946972,0.45486364,0.00755515,0.00844197,0.42902535,0.01064424,1.0,1.0,1.0,1.0,0.60025613,0.61269667,0.60007318,0.61269667,0.59623125,0.60464691,0.58964508,0.60464691,0.61050128,0.61379437,0.5964142,0.61379437,0.59915843,0.61086718,0.59860959,0.61086718,0.59147457,0.5964142,0.58580315,0.5964142
