date,close,open,high,low,volume,percent,code
2020-12-17,1180.89,1196.51,1208.13,1172.45,31M,1.5%,AZO
2020-12-18,1181.9,1180.68,1190.17,1174.78,44M,-2.23%,AZO
2020-12-21,1192.91,1177.17,1196.185,1166.21,24M,percent,AZO
2020-12-22,1190.19,1192.04,1196.06,1177.65,20M,1.69%,AZO
2020-12-23,1192.99,1187.72,1205.6399,1179.55,18M,1.98%,AZO
2020-12-24,1204.22,1195.94,1208.01,1187.13,82M,-0.74%,AZO
2020-12-28,1192.62,1210.48,1220.98,1186.73,21M,-2.63%,AZO
2020-12-29,1177.12,1192.36,1197.37,1172.41,21M,2.44%,AZO
2020-12-30,1175.87,1177.61,1188.305,1175.29,14M,-0.24%,AZO
2020-12-31,1185.44,1173.58,1187.47,1169.01,16M,3.02%,AZO
2021-01-04,1180.4,1183.56,1190.9,1166.6401,27M,-0.3%,AZO
2021-01-05,1180.35,1175.84,1188.45,1164.16,18M,-0.2%,AZO
2021-01-06,1229.7,1175.34,1231.765,1175.34,27M,-2.68%,AZO
2021-01-07,1246.04,1228.27,1249.02,1218.72,21M,-3.52%,AZO
2021-01-08,1252.92,1248.76,1257.53,1240.88,20M,-1.62%,AZO
2021-01-11,1265.46,1248.59,1269.33,1246.72,20M,0.93%,AZO
2021-01-12,1282.15,1265.84,1297.82,1264.5,24M,-0.69%,AZO
2021-01-13,1259.44,1276.96,1279.07,1253.18,23M,-0.46%,AZO
2021-01-14,1248.02,1265.88,1266.54,1242.34,18M,0.23%,AZO
2021-01-15,1248.33,1242.97,1249.36,1238.13,25M,-0.92%,AZO
2021-01-19,1238.29,1248.0,1251.73,1230.19,23M,-1.35%,AZO
2021-01-20,1239.98,1239.17,1244.535,1226.24,16M,-0.45%,AZO
2021-01-21,1246.41,1239.34,1251.365,1236.345,20M,-2.2%,AZO
2021-01-22,1227.16,1241.39,1241.39,1225.37,18M,-3.6%,AZO
2021-01-25,1196.04,1227.0,1227.01,1179.79,32M,0.95%,AZO
