Action_Cash,Action_AAPL,Action_V,Action_SNE,Action_ADBE,Action_BABA,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1
0.16665594,0.16662532,0.1667825,0.16664955,0.1666079,0.16667876,1.0,1.0,1.0,1.0,1.15962877,1.15962877,1.14032483,1.15962877,1.17902552,1.18162413,1.16612529,1.18162413,1.19229698,1.1987007,1.17280742,1.1987007,1.18329466,1.19953596,1.18236659,1.19953596,1.16844548,1.19164733,1.16157773,1.19164733
0.16665566,0.16662516,0.1667835,0.1666484,0.1666084,0.16667894,1.0,1.0,1.0,1.0,1.17902552,1.18162413,1.16612529,1.18162413,1.19229698,1.1987007,1.17280742,1.1987007,1.18329466,1.19953596,1.18236659,1.19953596,1.16844548,1.19164733,1.16157773,1.19164733,1.18060325,1.18654292,1.17419954,1.18654292
0.16665569,0.16662548,0.16678323,0.1666476,0.166609,0.16667895,1.0,1.0,1.0,1.0,1.19229698,1.1987007,1.17280742,1.1987007,1.18329466,1.19953596,1.18236659,1.19953596,1.16844548,1.19164733,1.16157773,1.19164733,1.18060325,1.18654292,1.17419954,1.18654292,1.17577726,1.18830626,1.17457077,1.18830626
0.16665587,0.16662556,0.16678281,0.16664828,0.16660833,0.16667916,1.0,1.0,1.0,1.0,1.18329466,1.19953596,1.18236659,1.19953596,1.16844548,1.19164733,1.16157773,1.19164733,1.18060325,1.18654292,1.17419954,1.18654292,1.17577726,1.18830626,1.17457077,1.18830626,1.145058,1.17698376,1.145058,1.17698376
0.16665547,0.16662504,0.1667833,0.16664842,0.1666082,0.16667959,1.0,1.0,1.0,1.0,1.16844548,1.19164733,1.16157773,1.19164733,1.18060325,1.18654292,1.17419954,1.18654292,1.17577726,1.18830626,1.17457077,1.18830626,1.145058,1.17698376,1.145058,1.17698376,1.15303944,1.15897912,1.13781903,1.15897912
0.16665551,0.16662541,0.16678326,0.16664754,0.16660883,0.16667946,1.0,1.0,1.0,1.0,1.18060325,1.18654292,1.17419954,1.18654292,1.17577726,1.18830626,1.17457077,1.18830626,1.145058,1.17698376,1.145058,1.17698376,1.15303944,1.15897912,1.13781903,1.15897912,1.14385151,1.15730858,1.14069606,1.15730858
0.1666558,0.16662624,0.16678292,0.16664766,0.16660833,0.16667905,1.0,1.0,1.0,1.0,1.17577726,1.18830626,1.17457077,1.18830626,1.145058,1.17698376,1.145058,1.17698376,1.15303944,1.15897912,1.13781903,1.15897912,1.14385151,1.15730858,1.14069606,1.15730858,1.17280742,1.17308585,1.15081206,1.17308585
0.16665615,0.1666259,0.16678208,0.16664861,0.16660792,0.16667925,1.0,1.0,1.0,1.0,1.145058,1.17698376,1.145058,1.17698376,1.15303944,1.15897912,1.13781903,1.15897912,1.14385151,1.15730858,1.14069606,1.15730858,1.17280742,1.17308585,1.15081206,1.17308585,1.15480278,1.17392111,1.15415313,1.17392111
0.16665608,0.16662595,0.16678166,0.16664925,0.16660765,0.16667946,1.0,1.0,1.0,1.0,1.15303944,1.15897912,1.13781903,1.15897912,1.14385151,1.15730858,1.14069606,1.15730858,1.17280742,1.17308585,1.15081206,1.17308585,1.15480278,1.17392111,1.15415313,1.17392111,1.15313225,1.1612065,1.1424594,1.1612065
0.16665585,0.1666255,0.16678257,0.16664901,0.16660792,0.16667914,1.0,1.0,1.0,1.0,1.14385151,1.15730858,1.14069606,1.15730858,1.17280742,1.17308585,1.15081206,1.17308585,1.15480278,1.17392111,1.15415313,1.17392111,1.15313225,1.1612065,1.1424594,1.1612065,1.16306265,1.16529002,1.15257541,1.16529002
0.16665597,0.16662608,0.16678262,0.16664818,0.16660826,0.16667885,1.0,1.0,1.0,1.0,1.17280742,1.17308585,1.15081206,1.17308585,1.15480278,1.17392111,1.15415313,1.17392111,1.15313225,1.1612065,1.1424594,1.1612065,1.16306265,1.16529002,1.15257541,1.16529002,1.18190255,1.18338747,1.15387471,1.18338747
0.16665624,0.16662595,0.16678213,0.16664867,0.16660796,0.16667908,1.0,1.0,1.0,1.0,1.15480278,1.17392111,1.15415313,1.17392111,1.15313225,1.1612065,1.1424594,1.1612065,1.16306265,1.16529002,1.15257541,1.16529002,1.18190255,1.18338747,1.15387471,1.18338747,1.16946636,1.18904872,1.16918794,1.18904872
0.16665594,0.16662565,0.16678202,0.16664933,0.16660787,0.16667916,1.0,1.0,1.0,1.0,1.15313225,1.1612065,1.1424594,1.1612065,1.16306265,1.16529002,1.15257541,1.16529002,1.18190255,1.18338747,1.15387471,1.18338747,1.16946636,1.18904872,1.16918794,1.18904872,1.16566125,1.17308585,1.15981439,1.17308585
0.16665587,0.16662541,0.16678275,0.16664895,0.16660807,0.16667895,1.0,1.0,1.0,1.0,1.16306265,1.16529002,1.15257541,1.16529002,1.18190255,1.18338747,1.15387471,1.18338747,1.16946636,1.18904872,1.16918794,1.18904872,1.16566125,1.17308585,1.15981439,1.17308585,1.17457077,1.17475638,1.15693735,1.17475638
0.1666559,0.16662574,0.16678278,0.16664796,0.16660868,0.16667894,1.0,1.0,1.0,1.0,1.18190255,1.18338747,1.15387471,1.18338747,1.16946636,1.18904872,1.16918794,1.18904872,1.16566125,1.17308585,1.15981439,1.17308585,1.17457077,1.17475638,1.15693735,1.17475638,1.17958237,1.18060325,1.1625058,1.18060325
