,Wealth,Return,Weight,Price
80,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.979,NaN"
81,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.098,NaN"
82,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.001,NaN"
83,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.998,NaN"
84,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.040,NaN"
85,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.998,NaN"
86,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.074,NaN"
87,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.034,NaN"
88,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.009,NaN"
89,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.959,NaN"
90,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.994,NaN"
91,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.989,NaN"
92,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.064,NaN"
93,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.001,NaN"
94,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.068,NaN"
95,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.029,NaN"
96,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.951,NaN"
97,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.969,NaN"
98,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.919,NaN"
99,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.040,NaN"
100,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.026,NaN"
101,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.011,NaN"
102,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.986,NaN"
103,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.000,NaN"
104,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.970,NaN"
105,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.002,NaN"
106,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.992,NaN"
107,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.956,NaN"
108,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.989,NaN"
109,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.968,NaN"
110,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.048,NaN"
111,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.995,NaN"
112,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.000,NaN"
113,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.003,NaN"
114,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.025,NaN"
115,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.964,NaN"
116,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.000,NaN"
117,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.952,NaN"
118,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.026,NaN"
119,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.995,NaN"
120,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.019,NaN"
121,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.041,NaN"
122,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.991,NaN"
123,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.997,NaN"
124,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.987,NaN"
125,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.027,NaN"
126,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,1.009,NaN"
127,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.992,NaN"
128,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.983,NaN"
129,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.984,NaN"
130,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.999,NaN"
131,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.974,NaN"
132,,,"NaN,NaN,NaN,NaN,NaN,NaN","1.000,1.000,1.000,1.000,0.967,NaN"
