Action_Cash,Action_TSM,Action_MRVL,Action_NVDA,Action_RTX,Action_GM,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_TSM_close_L1,State_TSM_high_L1,State_TSM_low_L1,State_TSM_open_L1,State_MRVL_close_L1,State_MRVL_high_L1,State_MRVL_low_L1,State_MRVL_open_L1,State_NVDA_close_L1,State_NVDA_high_L1,State_NVDA_low_L1,State_NVDA_open_L1,State_RTX_close_L1,State_RTX_high_L1,State_RTX_low_L1,State_RTX_open_L1,State_GM_close_L1,State_GM_high_L1,State_GM_low_L1,State_GM_open_L1,Wealth,Return,Price_Cash,Price_XOM,Price_CVX,Price_OKE,Price_VLO,Price_SHEL
0.16633843,0.16712621,0.16669893,0.16648443,0.1665091,0.16684285,1.0,1.0,1.0,1.0,1.07586994,1.08986991,1.07533832,1.08986991,1.10918607,1.11184432,1.08986968,1.11184432,1.1479961,1.15136322,1.11450256,1.15136322,1.13151523,1.14409745,1.11981907,1.14409745,1.15313517,1.18875534,1.1515403,1.18875534,9472.564453021803,-0.0014348629534125,1.000,0.992,1.000,1.000,1.000,1.000
0.16629153,0.1672009,0.16671306,0.1664709,0.16645256,0.16687104,1.0,1.0,1.0,1.0,1.10918607,1.11184432,1.08986968,1.11184432,1.1479961,1.15136322,1.11450256,1.15136322,1.13151523,1.14409745,1.11981907,1.14409745,1.15313517,1.18875534,1.1515403,1.18875534,1.18662872,1.18786922,1.15774279,1.18786922,9442.363667480826,-0.0031933307927579,1.000,0.983,1.000,1.000,1.000,1.000
0.16624545,0.16728717,0.16672158,0.16644786,0.16640033,0.16689754,1.0,1.0,1.0,1.0,1.1479961,1.15136322,1.11450256,1.15136322,1.13151523,1.14409745,1.11981907,1.14409745,1.15313517,1.18875534,1.1515403,1.18875534,1.18662872,1.18786922,1.15774279,1.18786922,1.17067972,1.19105943,1.15473051,1.19105943,9399.848854658332,-0.0045127274647459,1.000,0.977,1.000,1.000,1.000,1.000
0.1662187,0.16735898,0.16670659,0.16642311,0.16639566,0.16689694,1.0,1.0,1.0,1.0,1.13151523,1.14409745,1.11981907,1.14409745,1.15313517,1.18875534,1.1515403,1.18875534,1.18662872,1.18786922,1.15774279,1.18786922,1.17067972,1.19105943,1.15473051,1.19105943,1.18007188,1.18078076,1.13984423,1.18078076,9494.080599772367,0.0099748997864571,1.000,1.051,1.000,1.000,1.000,1.000
0.16621459,0.16739872,0.16668491,0.16639777,0.16643123,0.16687284,1.0,1.0,1.0,1.0,1.15313517,1.18875534,1.1515403,1.18875534,1.18662872,1.18786922,1.15774279,1.18786922,1.17067972,1.19105943,1.15473051,1.19105943,1.18007188,1.18078076,1.13984423,1.18078076,1.1767049,1.20505921,1.17617328,1.20505921,9447.213671547324,-0.0049486611842169,1.000,0.977,1.000,1.000,1.000,1.000
0.16620234,0.16745274,0.16665727,0.16636452,0.16646242,0.16686076,1.0,1.0,1.0,1.0,1.18662872,1.18786922,1.15774279,1.18786922,1.17067972,1.19105943,1.15473051,1.19105943,1.18007188,1.18078076,1.13984423,1.18078076,1.1767049,1.20505921,1.17617328,1.20505921,1.18538858,1.18698358,1.16607225,1.18698358,9450.865855155713,0.0003865137352918,1.000,1.002,1.000,1.000,1.000,1.000
0.16613008,0.1675995,0.16665386,0.16632843,0.16641343,0.16687472,1.0,1.0,1.0,1.0,1.17067972,1.19105943,1.15473051,1.19105943,1.18007188,1.18078076,1.13984423,1.18078076,1.1767049,1.20505921,1.17617328,1.20505921,1.18538858,1.18698358,1.16607225,1.18698358,1.20169219,1.22721113,1.19992007,1.22721113,9436.644446564223,-0.0015059063954816,1.000,0.994,1.000,1.000,1.000,1.000
0.16607077,0.16771753,0.16666144,0.16629204,0.16638613,0.16687202,1.0,1.0,1.0,1.0,1.18007188,1.18078076,1.13984423,1.18078076,1.1767049,1.20505921,1.17617328,1.20505921,1.18538858,1.18698358,1.16607225,1.18698358,1.20169219,1.22721113,1.19992007,1.22721113,1.21445148,1.22100846,1.20559075,1.22100846,9466.871827069854,0.0031980723407263,1.000,1.015,1.000,1.000,1.000,1.000
0.1660087,0.16786754,0.1666646,0.16625704,0.16635124,0.16685097,1.0,1.0,1.0,1.0,1.1767049,1.20505921,1.17617328,1.20505921,1.18538858,1.18698358,1.16607225,1.18698358,1.20169219,1.22721113,1.19992007,1.22721113,1.21445148,1.22100846,1.20559075,1.22100846,1.19389485,1.21392005,1.18290749,1.21392005,9436.631468161231,-0.0031994476613701,1.000,0.988,1.000,1.000,1.000,1.000
0.16600448,0.16792876,0.16663754,0.16621217,0.16643447,0.16678266,1.0,1.0,1.0,1.0,1.18538858,1.18698358,1.16607225,1.18698358,1.20169219,1.22721113,1.19992007,1.22721113,1.21445148,1.22100846,1.20559075,1.22100846,1.19389485,1.21392005,1.18290749,1.21392005,1.30961565,1.36260276,1.26442588,1.36260276,9456.727144536697,0.0021272749187325,1.000,1.011,1.000,1.000,1.000,1.000
0.1659788,0.16798137,0.16664897,0.1661444,0.1664805,0.16676597,1.0,1.0,1.0,1.0,1.20169219,1.22721113,1.19992007,1.22721113,1.21445148,1.22100846,1.20559075,1.22100846,1.19389485,1.21392005,1.18290749,1.21392005,1.30961565,1.36260276,1.26442588,1.36260276,1.47531153,1.47796977,1.42533702,1.47796977,9360.623133655585,-0.0102144930131119,1.000,0.951,1.000,1.000,1.000,1.000
0.16572943,0.1684805,0.16676058,0.16606385,0.16612501,0.16684064,1.0,1.0,1.0,1.0,1.21445148,1.22100846,1.20559075,1.22100846,1.19389485,1.21392005,1.18290749,1.21392005,1.30961565,1.36260276,1.26442588,1.36260276,1.47531153,1.47796977,1.42533702,1.47796977,1.36313468,1.41027383,1.35551445,1.41027383,9369.16378295705,0.0009119858043705,1.000,1.005,1.000,1.000,1.000,1.000
0.16533567,0.16926776,0.16692777,0.16599786,0.16553128,0.16693969,1.0,1.0,1.0,1.0,1.19389485,1.21392005,1.18290749,1.21392005,1.30961565,1.36260276,1.26442588,1.36260276,1.47531153,1.47796977,1.42533702,1.47796977,1.36313468,1.41027383,1.35551445,1.41027383,1.46503266,1.47743776,1.36561529,1.47743776,9376.690197291466,0.0008029951312718,1.000,1.004,1.000,1.000,1.000,1.000
0.16521163,0.16955578,0.16696635,0.16593254,0.16541901,0.16691469,1.0,1.0,1.0,1.0,1.30961565,1.36260276,1.26442588,1.36260276,1.47531153,1.47796977,1.42533702,1.47796977,1.36313468,1.41027383,1.35551445,1.41027383,1.46503266,1.47743776,1.36561529,1.47743776,1.41647609,1.44040003,1.39308377,1.44040003,9437.195812473508,0.0064320389471131,1.000,1.029,1.000,1.000,1.000,1.000
0.16506192,0.16995847,0.16702798,0.16585183,0.16518095,0.16691886,1.0,1.0,1.0,1.0,1.47531153,1.47796977,1.42533702,1.47796977,1.36313468,1.41027383,1.35551445,1.41027383,1.46503266,1.47743776,1.36561529,1.47743776,1.41647609,1.44040003,1.39308377,1.44040003,1.39804586,1.41364069,1.37359029,1.41364069,9456.77664680619,0.0020727077257059,1.000,1.009,1.000,1.000,1.000,1.000
0.16491576,0.17043066,0.16710831,0.16571827,0.16488758,0.16693945,1.0,1.0,1.0,1.0,1.36313468,1.41027383,1.35551445,1.41027383,1.46503266,1.47743776,1.36561529,1.47743776,1.41647609,1.44040003,1.39308377,1.44040003,1.39804586,1.41364069,1.37359029,1.41364069,1.39910902,1.40265339,1.3718181,1.40265339,9442.52224194815,-0.0015084588740432,1.000,0.995,1.000,1.000,1.000,1.000
0.16485316,0.17075802,0.16714944,0.16562788,0.16475742,0.1668541,1.0,1.0,1.0,1.0,1.46503266,1.47743776,1.36561529,1.47743776,1.41647609,1.44040003,1.39308377,1.44040003,1.39804586,1.41364069,1.37359029,1.41364069,1.39910902,1.40265339,1.3718181,1.40265339,1.42108357,1.42108357,1.39538738,1.42108357,9427.27017969822,-0.0016165589139077,1.000,0.995,1.000,1.000,1.000,1.000
0.16479863,0.1709948,0.16726118,0.16551532,0.16467136,0.16675873,1.0,1.0,1.0,1.0,1.41647609,1.44040003,1.39308377,1.44040003,1.39804586,1.41364069,1.37359029,1.41364069,1.39910902,1.40265339,1.3718181,1.40265339,1.42108357,1.42108357,1.39538738,1.42108357,1.44660229,1.48860219,1.42781759,1.48860219,9508.781720898136,0.0086091910905593,1.000,1.025,1.000,1.000,1.000,1.000
0.1647231,0.17139465,0.16739233,0.16540691,0.16442093,0.1666621,1.0,1.0,1.0,1.0,1.39804586,1.41364069,1.37359029,1.41364069,1.39910902,1.40265339,1.3718181,1.40265339,1.42108357,1.42108357,1.39538738,1.42108357,1.44660229,1.48860219,1.42781759,1.48860219,1.42693185,1.45493179,1.42161549,1.45493179,9546.03687758102,0.0039103184280071,1.000,1.010,1.000,1.000,1.000,1.000
0.16470766,0.17170385,0.16757178,0.16524959,0.16423428,0.16653287,1.0,1.0,1.0,1.0,1.39910902,1.40265339,1.3718181,1.40265339,1.42108357,1.42108357,1.39538738,1.42108357,1.44660229,1.48860219,1.42781759,1.48860219,1.42693185,1.45493179,1.42161549,1.45493179,1.41824832,1.43171666,1.4072611,1.43171666,9542.47548756253,-0.0003731448519075,1.000,1.000,1.000,1.000,1.000,1.000
0.16471504,0.1719202,0.1677467,0.16506489,0.16409431,0.16645889,1.0,1.0,1.0,1.0,1.42108357,1.42108357,1.39538738,1.42108357,1.44660229,1.48860219,1.42781759,1.48860219,1.42693185,1.45493179,1.42161549,1.45493179,1.41824832,1.43171666,1.4072611,1.43171666,1.41541292,1.43277987,1.40389395,1.43277987,9419.78626235402,-0.0129405383096953,1.000,0.976,1.000,1.000,1.000,1.000
0.16471682,0.17201768,0.16799314,0.16489254,0.1639658,0.16641402,1.0,1.0,1.0,1.0,1.44660229,1.48860219,1.42781759,1.48860219,1.42693185,1.45493179,1.42161549,1.45493179,1.41824832,1.43171666,1.4072611,1.43171666,1.41541292,1.43277987,1.40389395,1.43277987,1.38121052,1.40353946,1.38121052,1.40353946,9439.743841128226,0.0021164457560113,1.000,1.004,1.000,1.000,1.000,1.000
