Action_Cash,Action_TSM,Action_MRVL,Action_NVDA,Action_RTX,Action_GM,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_TSM_close_L1,State_TSM_high_L1,State_TSM_low_L1,State_TSM_open_L1,State_MRVL_close_L1,State_MRVL_high_L1,State_MRVL_low_L1,State_MRVL_open_L1,State_NVDA_close_L1,State_NVDA_high_L1,State_NVDA_low_L1,State_NVDA_open_L1,State_RTX_close_L1,State_RTX_high_L1,State_RTX_low_L1,State_RTX_open_L1,State_GM_close_L1,State_GM_high_L1,State_GM_low_L1,State_GM_open_L1,Wealth,Return,Price_Cash,Price_TSM,Price_MRVL,Price_NVDA,Price_RTX,Price_GM
0.16630594,0.16687879,0.16726954,0.16689925,0.16683075,0.16581576,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9922.05831189944,0.003187962562948,1.000,1.000,1.000,1.000,1.000,1.019
0.1663056,0.16687925,0.16727018,0.16689906,0.16683106,0.1658148,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9953.585860598892,0.0031724833538614,1.000,1.000,1.000,1.000,1.000,1.019
0.16630512,0.16687943,0.16727109,0.16689941,0.16683121,0.16581374,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9920.540584698205,-0.0033254600089965,1.000,1.000,1.000,1.000,1.000,0.980
0.1663052,0.16687946,0.16727118,0.16689928,0.16683131,0.16581358,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9886.931703219763,-0.0033935590815331,1.000,1.000,1.000,1.000,1.000,0.980
0.16630627,0.16687925,0.16726997,0.16689844,0.16683134,0.16581467,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9917.086132861614,0.003045286385339,1.000,1.000,1.000,1.000,1.000,1.018
0.16630705,0.16687886,0.16726775,0.16689862,0.1668304,0.1658173,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9953.513568248569,0.0036664697334469,1.000,1.000,1.000,1.000,1.000,1.022
0.16630645,0.16687939,0.16726774,0.1668989,0.1668301,0.16581744,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9976.067142073509,0.0022633274408127,1.000,1.000,1.000,1.000,1.000,1.014
0.16630559,0.16687989,0.16726974,0.16689895,0.16683078,0.1658151,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9966.699433386048,-0.000939459361468,1.000,1.000,1.000,1.000,1.000,0.994
0.16630533,0.16687983,0.16727091,0.16689913,0.16683125,0.16581357,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9941.861658148118,-0.0024951866697252,1.000,1.000,1.000,1.000,1.000,0.985
0.16630594,0.16687956,0.16726992,0.166899,0.16683108,0.16581446,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9925.211599141478,-0.0016761465253752,1.000,1.000,1.000,1.000,1.000,0.990
0.16630676,0.16687945,0.16726829,0.16689861,0.1668307,0.16581613,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9949.569645537162,0.0024511523715781,1.000,1.000,1.000,1.000,1.000,1.015
0.16630712,0.16687945,0.16726719,0.16689861,0.16683027,0.16581741,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9967.001076167984,0.0017504454281114,1.000,1.000,1.000,1.000,1.000,1.011
0.1663065,0.16687962,0.16726771,0.16689903,0.16683018,0.16581699,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9936.99349333733,-0.0030152345008642,1.000,1.000,1.000,1.000,1.000,0.982
0.1663059,0.16687998,0.1672692,0.16689894,0.16683078,0.16581523,1.0,1.0,1.0,1.0,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,1.61997768,1.64564732,1.61941964,1.64564732,9862.749945662385,-0.0074994805737542,1.000,1.000,1.000,1.000,1.000,0.955
