,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1
170,1.0,1.0,1.0,1.0,0.98609912,0.98609912,0.96494561,0.96520463,0.76920835,0.76959689,0.75706654,0.76192326,0.73602095,0.73784307,0.71404168,0.72167179,0.93328577,0.93435605,0.92293971,0.92793436,0.90694694,0.9075878,0.89028454,0.89541143
142,1.0,1.0,1.0,1.0,1.02262131,1.05828009,1.01467795,1.04904162,0.79067508,0.79902865,0.78387567,0.79825158,0.88816763,0.89397563,0.878146,0.89055916,0.99036746,0.9982162,0.98358901,0.99571887,0.97116124,0.97462189,0.96142015,0.96885414
396,1.0,1.0,1.0,1.0,0.9134001,0.91383181,0.90459333,0.9049387,0.93899951,0.93909665,0.92909179,0.93307431,0.95285275,0.95478875,0.94715864,0.94863911,1.15412059,1.15519087,1.14341777,1.14841242,1.00884389,1.00884389,1.00243527,1.00333248
341,1.0,1.0,1.0,1.0,0.81056812,0.81497151,0.79131411,0.79770333,0.94443905,0.94958718,0.93161729,0.93161729,0.90297233,0.91026079,0.88361234,0.88668717,0.94042098,0.94363182,0.93257224,0.93578309,0.99718021,1.00051269,0.98641374,0.98718277
221,1.0,1.0,1.0,1.0,1.01666379,1.03375928,1.01312381,1.0297876,0.89324915,0.89723167,0.88654687,0.89188927,0.92597654,0.93599818,0.91071632,0.91618267,0.95576168,0.9646807,0.95433464,0.95611844,1.026788,1.03537554,1.01973853,1.03294027
95,1.0,1.0,1.0,1.0,1.1400449,1.1419444,1.12286306,1.12536695,0.7786304,0.78018456,0.76998543,0.7727052,1.0545496,1.058991,1.04316137,1.05022207,1.11452016,1.11844452,1.10667142,1.11666072,0.89066906,0.89387337,0.87798001,0.88246603
51,1.0,1.0,1.0,1.0,1.09385253,1.10550855,1.0927301,1.09851494,0.73288004,0.74230209,0.7322001,0.73929092,0.95239722,0.96230498,0.93827582,0.96059674,0.98358901,0.98965394,0.98180521,0.98751338,0.86003589,0.86759805,0.85670341,0.86003589
240,1.0,1.0,1.0,1.0,0.9266966,0.92704196,0.9115006,0.92626489,0.88994658,0.90033997,0.88207868,0.89519184,0.94374217,0.95353604,0.93873135,0.94693087,0.86871209,0.87120942,0.85515519,0.86657153,0.98910536,0.99154063,0.97923609,0.98564471
370,1.0,1.0,1.0,1.0,0.7946814,0.80340183,0.79001899,0.80297013,0.88246722,0.89392909,0.87761049,0.88742108,0.84534791,0.86880765,0.83475686,0.86322742,0.96610774,0.97181591,0.95754549,0.96860507,0.94001538,0.95590874,0.93886183,0.95078185
376,1.0,1.0,1.0,1.0,0.82481437,0.8259368,0.81479883,0.81678467,0.92452647,0.92744051,0.9136474,0.91821272,0.89556998,0.89761986,0.88463729,0.89363398,1.07349269,1.07384945,1.05351409,1.05422761,0.94924378,0.95808767,0.94629582,0.95001282
178,1.0,1.0,1.0,1.0,0.98704887,0.9905025,0.9782421,0.98109135,0.83050024,0.8351627,0.81641574,0.82486644,0.68329347,0.70948639,0.67964924,0.70561439,0.89118801,0.89618266,0.882269,0.89261506,0.90938221,0.91181748,0.89592412,0.8992566
41,1.0,1.0,1.0,1.0,1.07503022,1.0984286,1.06890002,1.09143499,0.73822244,0.75075279,0.7381253,0.75036425,0.94488099,0.94693087,0.91846031,0.92347113,0.94791295,0.9529076,0.94648591,0.95041027,0.84978211,0.86477826,0.84978211,0.86400923
431,1.0,1.0,1.0,1.0,0.9896391,0.992402,0.98428596,0.98730789,1.04827586,1.05390966,1.03943662,1.04380767,1.24541624,1.24997153,1.22400638,1.22503132,1.20977524,1.21905102,1.20513735,1.21120228,1.06844399,1.0739554,1.06639323,1.06921302
206,1.0,1.0,1.0,1.0,1.04627871,1.04783284,1.03272319,1.03496805,0.87333657,0.87955318,0.8593492,0.86478873,0.96059674,0.96606309,0.94237558,0.95114452,1.03032465,1.03246522,1.01819479,1.01819479,0.96411177,0.97680082,0.95526788,0.96372725
282,1.0,1.0,1.0,1.0,0.81756173,0.83318943,0.81635296,0.83232602,0.80689655,0.82068966,0.80485673,0.81019913,0.7626694,0.7819155,0.75697529,0.78009338,0.76739208,0.78201927,0.76703532,0.77417053,0.92476288,0.93719559,0.92271213,0.93501666
254,1.0,1.0,1.0,1.0,0.86306337,0.86936626,0.8533932,0.86815749,0.87246236,0.88421564,0.85876639,0.8731423,0.82769616,0.8287211,0.80856394,0.81368865,0.815198,0.82376026,0.80449518,0.8234035,0.95821584,0.96129198,0.94873109,0.95513971
410,1.0,1.0,1.0,1.0,0.93982041,0.94387843,0.9370575,0.93757555,0.98241865,0.98377853,0.97367654,0.9758135,1.09087803,1.09873591,1.08655051,1.08860039,1.18159115,1.18943989,1.17838031,1.18373172,1.03563189,1.04793643,1.03563189,1.04293771
4,1.0,1.0,1.0,1.0,0.94802279,0.95398031,0.93679848,0.94146089,0.67984458,0.6838271,0.670034,0.6787761,1.1340394,1.14087234,1.1167293,1.13062294,0.73849447,0.74170532,0.73207278,0.74063503,0.81889259,0.82863368,0.81427839,0.82235324
256,1.0,1.0,1.0,1.0,0.85926438,0.8675531,0.82662753,0.8457952,0.87226809,0.87712482,0.84817873,0.86372025,0.82279923,0.82815169,0.77747409,0.80047831,0.79557617,0.79878701,0.78130574,0.79379237,0.9459113,0.95513971,0.93129967,0.93758011
446,1.0,1.0,1.0,1.0,1.01001554,1.01398722,0.99913659,1.00837506,1.04915007,1.05031569,1.03477416,1.04060223,1.16330714,1.16786243,1.12743423,1.1622822,1.18694256,1.18765608,1.17017481,1.17409918,1.04934632,1.0526788,1.03960523,1.04652653
100,1.0,1.0,1.0,1.0,1.12346745,1.1305474,1.12156795,1.12812986,0.778339,0.78037882,0.77163672,0.77639631,1.03393691,1.03678397,1.02380139,1.03325362,1.08562255,1.09026044,1.07991438,1.08027114,0.88374776,0.89079723,0.88297872,0.8877211
226,1.0,1.0,1.0,1.0,1.01312381,1.02581592,1.00897945,1.02529788,0.89898009,0.89927149,0.88489558,0.89373482,0.95661086,0.96105227,0.95091675,0.95399157,0.93471281,0.94042098,0.932929,0.93471281,1.02422456,1.0244809,1.00961292,1.01935401
425,1.0,1.0,1.0,1.0,0.96503195,0.9759109,0.93766189,0.93878432,0.95959203,0.96697426,0.956678,0.96114619,1.1661542,1.16831796,1.13905022,1.13973352,1.1494827,1.15661791,1.14698537,1.14698537,1.04447578,1.05383235,1.04396309,1.04409126
213,1.0,1.0,1.0,1.0,1.00250389,1.01381454,0.99473321,1.00474875,0.88596406,0.88848956,0.87663915,0.88081593,0.90934973,0.93941465,0.8896481,0.93702312,1.00963254,1.01462719,1.00570817,1.01320014,1.01486798,1.02858241,1.01473981,1.02345552
171,1.0,1.0,1.0,1.0,0.99559662,1.00923847,0.99171128,1.00656191,0.76211753,0.77134531,0.76036911,0.77076251,0.71290286,0.72041909,0.70014805,0.71233345,0.92615055,0.92650731,0.91972886,0.92615055,0.89733402,0.90745963,0.89220713,0.90643425
98,1.0,1.0,1.0,1.0,1.12700743,1.13443274,1.12286306,1.13279226,0.7758135,0.77707625,0.76338028,0.77221952,1.03382303,1.03621455,1.01913222,1.02596515,1.09882269,1.10667142,1.09204424,1.10096325,0.88579851,0.89015637,0.8770828,0.88605486
