Action_Cash,Action_BMW.DE,Action_MBG.DE,Action_FORD,Action_GM,Action_AZO,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_BMW.DE_close_L1,State_BMW.DE_high_L1,State_BMW.DE_low_L1,State_BMW.DE_open_L1,State_MBG.DE_close_L1,State_MBG.DE_high_L1,State_MBG.DE_low_L1,State_MBG.DE_open_L1,State_FORD_close_L1,State_FORD_high_L1,State_FORD_low_L1,State_FORD_open_L1,State_GM_close_L1,State_GM_high_L1,State_GM_low_L1,State_GM_open_L1,State_AZO_close_L1,State_AZO_high_L1,State_AZO_low_L1,State_AZO_open_L1
0.1666219,0.166738,0.1666216,0.16669227,0.16664737,0.16667892,1.0,1.0,1.0,1.0,0.96288569,0.97560574,0.95940081,0.97560574,0.99477278,0.99529549,0.96671909,0.99529549,0.99651514,1.0022653,0.99059076,1.0022653,0.97229513,0.97647707,0.95940093,0.97647707,0.93988517,0.96671914,0.93396079,0.96671914
0.16662192,0.16673781,0.16662166,0.16669253,0.16664729,0.16667879,1.0,1.0,1.0,1.0,0.99477278,0.99529549,0.96671909,0.99529549,0.99651514,1.0022653,0.99059076,1.0022653,0.97229513,0.97647707,0.95940093,0.97647707,0.93988517,0.96671914,0.93396079,0.96671914,0.95434765,0.9573098,0.9433701,0.9573098
0.16662206,0.16673724,0.16662236,0.16669235,0.16664727,0.16667874,1.0,1.0,1.0,1.0,0.99651514,1.0022653,0.99059076,1.0022653,0.97229513,0.97647707,0.95940093,0.97647707,0.93988517,0.96671914,0.93396079,0.96671914,0.95434765,0.9573098,0.9433701,0.9573098,1.0022653,1.00435624,0.99146204,1.00435624
0.16662219,0.16673738,0.16662206,0.16669258,0.16664724,0.1666786,1.0,1.0,1.0,1.0,0.97229513,0.97647707,0.95940093,0.97647707,0.93988517,0.96671914,0.93396079,0.96671914,0.95434765,0.9573098,0.9433701,0.9573098,1.0022653,1.00435624,0.99146204,1.00435624,1.0092351,1.01324283,0.99616662,1.01324283
0.1666219,0.16673751,0.16662174,0.16669294,0.16664752,0.16667844,1.0,1.0,1.0,1.0,0.93988517,0.96671914,0.93396079,0.96671914,0.95434765,0.9573098,0.9433701,0.9573098,1.0022653,1.00435624,0.99146204,1.00435624,1.0092351,1.01324283,0.99616662,1.01324283,1.01097768,1.01550806,0.99808342,1.01550806
0.166622,0.16673729,0.16662219,0.16669264,0.16664736,0.16667849,1.0,1.0,1.0,1.0,0.95434765,0.9573098,0.9433701,0.9573098,1.0022653,1.00435624,0.99146204,1.00435624,1.0092351,1.01324283,0.99616662,1.01324283,1.01097768,1.01550806,0.99808342,1.01550806,0.97926486,0.995644,0.97682542,0.995644
0.16662218,0.1667374,0.16662216,0.16669247,0.16664708,0.16667879,1.0,1.0,1.0,1.0,1.0022653,1.00435624,0.99146204,1.00435624,1.0092351,1.01324283,0.99616662,1.01324283,1.01097768,1.01550806,0.99808342,1.01550806,0.97926486,0.995644,0.97682542,0.995644,0.99355292,0.99407564,0.98170416,0.99407564
0.16662212,0.16673729,0.16662212,0.16669266,0.16664718,0.16667855,1.0,1.0,1.0,1.0,1.0092351,1.01324283,0.99616662,1.01324283,1.01097768,1.01550806,0.99808342,1.01550806,0.97926486,0.995644,0.97682542,0.995644,0.99355292,0.99407564,0.98170416,0.99407564,1.02212941,1.02631135,1.00731849,1.02631135
0.16662218,0.16673708,0.16662243,0.16669254,0.16664712,0.16667858,1.0,1.0,1.0,1.0,1.01097768,1.01550806,0.99808342,1.01550806,0.97926486,0.995644,0.97682542,0.995644,0.99355292,0.99407564,0.98170416,0.99407564,1.02212941,1.02631135,1.00731849,1.02631135,1.03903138,1.04112231,1.0263114,1.04112231
0.16662207,0.1667375,0.16662182,0.16669284,0.16664727,0.16667849,1.0,1.0,1.0,1.0,0.97926486,0.995644,0.97682542,0.995644,0.99355292,0.99407564,0.98170416,0.99407564,1.02212941,1.02631135,1.00731849,1.02631135,1.03903138,1.04112231,1.0263114,1.04112231,1.03380401,1.0402511,1.02352346,1.0402511
