State,Action
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662203 0.16673762 0.16662182 0.16669275 0.16664729 0.16667856]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662183 0.16673782 0.16662143 0.16669288 0.16664745 0.1666786 ]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.166622  0.16673762 0.16662183 0.16669267 0.16664736 0.16667853]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662183 0.16673802 0.16662124 0.1666928 0.16664734 0.16667873]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662207 0.16673742 0.16662216 0.16669248 0.16664729 0.16667861]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662233 0.16673711 0.16662258 0.16669224 0.16664693 0.16667882]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662242 0.16673663 0.16662303 0.16669238 0.16664693 0.16667862]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662268 0.16673599 0.16662385 0.16669208 0.16664673 0.16667862]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662286 0.16673592 0.16662385 0.1666921 0.16664661 0.16667867]]
[[[[1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]] [[6.36693517e-02 6.40210687e-02 6.26742500e-02 6.40210687e-02]]]],[[0.16662267 0.16673617 0.16662331 0.16669255 0.166647  0.16667826]]
