,Action_Cash,Action_AAPL,Action_ADBE,Action_BABA,Action_SNE,Action_V
125,0.11527785,0.12814681,0.4212525,0.09024132,0.08075307,0.1643284
301,0.07057991,0.10957848,0.19614929,0.07571083,0.133878,0.41410348
223,0.38711107,0.11076069,0.06863588,0.11488015,0.07577844,0.24283375
416,0.4890165,0.08643748,0.10019269,0.1990007,0.02933937,0.09601326
219,0.20541762,0.06913611,0.06385886,0.26958793,0.171021,0.22097845
129,0.4532635,0.08497707,0.07677932,0.0430176,0.2318962,0.11006635
418,0.5815134,0.20633294,0.0739689,0.03257265,0.04691628,0.05869589
482,0.08779221,0.22918963,0.2613733,0.17461616,0.06449074,0.18253799
365,0.07013972,0.08284761,0.32704163,0.29959342,0.08002218,0.14035542
374,0.07238024,0.09577311,0.44958842,0.11301208,0.07175717,0.19748893
290,0.01651837,0.26380888,0.16772729,0.10675514,0.17121044,0.27397987
353,0.13277702,0.11073748,0.2225854,0.11126424,0.21278457,0.20985135
472,0.1443253,0.03610218,0.16033824,0.19428517,0.3088796,0.15606944
364,0.12969527,0.13290386,0.20337883,0.32131016,0.18370801,0.02900379
430,0.13143502,0.07377768,0.11900731,0.42430082,0.12536581,0.1261133
112,0.1009118,0.1765204,0.28308412,0.06131591,0.06119838,0.31696945
179,0.05714851,0.10950195,0.18615276,0.44340757,0.06368622,0.14010298
452,0.13231702,0.10407445,0.10104682,0.04510062,0.04490265,0.57255846
338,0.46847937,0.0763037,0.09884412,0.18807033,0.07166251,0.09664001
329,0.06629109,0.23761125,0.07711833,0.05260345,0.51223445,0.05414151
479,0.14643842,0.09561296,0.16181797,0.27494282,0.13423158,0.18695624
357,0.13744396,0.02849045,0.2606959,0.14149801,0.13016401,0.30170763
233,0.08094561,0.35255933,0.3079343,0.03234059,0.1434858,0.08273432
310,0.04395879,0.32243654,0.0851177,0.23934299,0.15965174,0.14949223
164,0.11079369,0.09342039,0.2824804,0.24429224,0.07512593,0.19388737
136,0.14778598,0.05295625,0.49799466,0.04170017,0.07926257,0.18030041
197,0.27830377,0.19090609,0.1515223,0.1439457,0.05578592,0.17953624
258,0.03799041,0.04646132,0.06612334,0.13143331,0.38499716,0.33299446
232,0.15689832,0.33201042,0.21033394,0.10015081,0.14991769,0.05068872
115,0.0633901,0.08167718,0.45631903,0.08227247,0.0818052,0.23453608
120,0.08591883,0.2678613,0.36750484,0.10368923,0.03753094,0.13749488
347,0.10551804,0.13980341,0.18482935,0.05924642,0.41621366,0.09438913
224,0.15431024,0.31404945,0.2884257,0.10131027,0.04369358,0.09821077
400,0.09443766,0.06216647,0.27857322,0.18889563,0.04256517,0.33336192
336,0.26479653,0.13247617,0.04337819,0.17553094,0.02904511,0.35477316
127,0.05492871,0.42145562,0.15610555,0.108658,0.09872673,0.16012537
285,0.17133677,0.06114404,0.35104382,0.13837552,0.04189811,0.23620173
409,0.40738657,0.1374387,0.20243213,0.14070708,0.02544895,0.08658652
