Action_Cash,Action_AAPL,Action_V,Action_SNE,Action_ADBE,Action_BABA,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1,Wealth,Return,Price_Cash,Price_AAPL,Price_V,Price_SNE,Price_ADBE,Price_BABA
0.16665569,0.16662513,0.1667836,0.166648,0.16660862,0.16667892,1.0,1.0,1.0,1.0,1.19220418,1.21178654,1.19016241,1.21178654,1.19805104,1.20909513,1.19071926,1.20909513,1.20055684,1.20204176,1.1887703,1.20204176,1.19294664,1.20241299,1.19090487,1.20241299,1.17317865,1.19489559,1.16714617,1.19489559,10235.599235005331,0.0007100044128981,1.000,1.004,1.000,1.000,1.000,1.000
0.16665557,0.16662505,0.16678414,0.16664767,0.16660866,0.166679,1.0,1.0,1.0,1.0,1.19805104,1.20909513,1.19071926,1.20909513,1.20055684,1.20204176,1.1887703,1.20204176,1.19294664,1.20241299,1.19090487,1.20241299,1.17317865,1.19489559,1.16714617,1.19489559,1.174942,1.20064965,1.17178654,1.20064965,10200.306140910188,-0.0034540313760628,1.000,0.979,1.000,1.000,1.000,1.000
0.16665556,0.16662516,0.16678393,0.16664754,0.1666089,0.1666789,1.0,1.0,1.0,1.0,1.20055684,1.20204176,1.1887703,1.20204176,1.19294664,1.20241299,1.19090487,1.20241299,1.17317865,1.19489559,1.16714617,1.19489559,1.174942,1.20064965,1.17178654,1.20064965,1.1799536,1.2025058,1.16064965,1.2025058,10169.246805001643,-0.0030495868085026,1.000,0.982,1.000,1.000,1.000,1.000
0.1666557,0.16662526,0.16678317,0.16664787,0.16660868,0.16667925,1.0,1.0,1.0,1.0,1.19294664,1.20241299,1.19090487,1.20241299,1.17317865,1.19489559,1.16714617,1.19489559,1.174942,1.20064965,1.17178654,1.20064965,1.1799536,1.2025058,1.16064965,1.2025058,1.15554524,1.18069606,1.14895592,1.18069606,10199.81684701728,0.0030016171081931,1.000,1.018,1.000,1.000,1.000,1.000
0.16665539,0.16662496,0.1667834,0.16664822,0.16660836,0.16667964,1.0,1.0,1.0,1.0,1.17317865,1.19489559,1.16714617,1.19489559,1.174942,1.20064965,1.17178654,1.20064965,1.1799536,1.2025058,1.16064965,1.2025058,1.15554524,1.18069606,1.14895592,1.18069606,1.13447796,1.15795824,1.13327146,1.15795824,10188.009344707018,-0.0011582896106076,1.000,0.993,1.000,1.000,1.000,1.000
0.16665533,0.16662528,0.16678403,0.16664734,0.16660857,0.16667941,1.0,1.0,1.0,1.0,1.174942,1.20064965,1.17178654,1.20064965,1.1799536,1.2025058,1.16064965,1.2025058,1.15554524,1.18069606,1.14895592,1.18069606,1.13447796,1.15795824,1.13327146,1.15795824,1.1549884,1.15916473,1.12881671,1.15916473,10206.665978156145,0.0018295597608565,1.000,1.011,1.000,1.000,1.000,1.000
0.16665569,0.16662583,0.16678342,0.16664693,0.16660878,0.1666793,1.0,1.0,1.0,1.0,1.1799536,1.2025058,1.16064965,1.2025058,1.15554524,1.18069606,1.14895592,1.18069606,1.13447796,1.15795824,1.13327146,1.15795824,1.1549884,1.15916473,1.12881671,1.15916473,1.14700696,1.1638051,1.13763341,1.1638051,10235.07446544892,0.0027794605513222,1.000,1.017,1.000,1.000,1.000,1.000
0.16665588,0.16662614,0.16678235,0.16664822,0.16660787,0.16667952,1.0,1.0,1.0,1.0,1.15554524,1.18069606,1.14895592,1.18069606,1.13447796,1.15795824,1.13327146,1.15795824,1.1549884,1.15916473,1.12881671,1.15916473,1.14700696,1.1638051,1.13763341,1.1638051,1.15962877,1.15962877,1.14032483,1.15962877,10254.212912769388,0.0018681423646624,1.000,1.011,1.000,1.000,1.000,1.000
0.16665609,0.16662598,0.16678235,0.16664895,0.1666076,0.16667901,1.0,1.0,1.0,1.0,1.13447796,1.15795824,1.13327146,1.15795824,1.1549884,1.15916473,1.12881671,1.15916473,1.14700696,1.1638051,1.13763341,1.1638051,1.15962877,1.15962877,1.14032483,1.15962877,1.17902552,1.18162413,1.16612529,1.18162413,10241.27304353576,-0.0012627044784902,1.000,0.992,1.000,1.000,1.000,1.000
0.16665639,0.16662623,0.16678205,0.16664878,0.16660772,0.16667886,1.0,1.0,1.0,1.0,1.1549884,1.15916473,1.12881671,1.15916473,1.14700696,1.1638051,1.13763341,1.1638051,1.15962877,1.15962877,1.14032483,1.15962877,1.17902552,1.18162413,1.16612529,1.18162413,1.19229698,1.1987007,1.17280742,1.1987007,10219.833032374452,-0.0020956852409272,1.000,0.987,1.000,1.000,1.000,1.000
0.1666564,0.16662583,0.16678193,0.16664933,0.16660766,0.16667892,1.0,1.0,1.0,1.0,1.14700696,1.1638051,1.13763341,1.1638051,1.15962877,1.15962877,1.14032483,1.15962877,1.17902552,1.18162413,1.16612529,1.18162413,1.19229698,1.1987007,1.17280742,1.1987007,1.18329466,1.19953596,1.18236659,1.19953596,10237.508898571376,0.0017280710910804,1.000,1.010,1.000,1.000,1.000,1.000
0.16665594,0.16662532,0.1667825,0.16664955,0.1666079,0.16667876,1.0,1.0,1.0,1.0,1.15962877,1.15962877,1.14032483,1.15962877,1.17902552,1.18162413,1.16612529,1.18162413,1.19229698,1.1987007,1.17280742,1.1987007,1.18329466,1.19953596,1.18236659,1.19953596,1.16844548,1.19164733,1.16157773,1.19164733,10230.499727438422,-0.0006848904097132,1.000,0.996,1.000,1.000,1.000,1.000
0.16665566,0.16662516,0.1667835,0.1666484,0.1666084,0.16667894,1.0,1.0,1.0,1.0,1.17902552,1.18162413,1.16612529,1.18162413,1.19229698,1.1987007,1.17280742,1.1987007,1.18329466,1.19953596,1.18236659,1.19953596,1.16844548,1.19164733,1.16157773,1.19164733,1.18060325,1.18654292,1.17419954,1.18654292,10185.949473958468,-0.0043641598741037,1.000,0.974,1.000,1.000,1.000,1.000
