Action1,Action2,Action3,Action4,Action5,Action6,State1.1,State1.2,State1.3,State2.1,State2.2,State2.3,State3.1,State3.2,State3.3,State4.1,State4.2,State4.3,State5.1,State5.2,State5.3,State6.1,State6.2,State6.3
0.02603389,0.19258878,0.07616795,0.43193942,0.08748796,0.1857819,1.0,1.0,1.0,0.9423243,0.99559662,1.02659299,0.69412336,0.68237008,0.69587178,1.17230384,1.12117071,1.02277645,0.82268998,0.8369604,0.84088477,0.80428095,0.78941297,0.794668
0.1411945,0.11823431,0.42512065,0.04373821,0.11211342,0.1595989,1.0,1.0,1.0,0.99559662,1.02659299,1.01156968,0.68237008,0.69587178,0.68120447,1.12117071,1.02277645,1.01446305,0.8369604,0.84088477,0.83089547,0.78941297,0.79466803,0.8168418
0.13372698,0.30589798,0.38284367,0.0416151,0.10250119,0.033415,1.0,1.0,1.0,1.02659299,1.01156968,1.02426179,0.69587178,0.68120447,0.69072365,1.02277645,1.01446305,1.02642068,0.84088477,0.83089547,0.83232251,0.79466803,0.81684184,0.8182517
0.33412796,0.0455917,0.1487664,0.12383682,0.15383033,0.1938468,1.0,1.0,1.0,1.01156968,1.02426179,1.02443447,0.68120447,0.69072365,0.69859155,1.01446305,1.02642068,1.03188703,0.83089547,0.83232251,0.83446308,0.81684184,0.81825173,0.8324788
0.59573656,0.01957699,0.1305179,0.113146,0.10171963,0.0393028,1.0,1.0,1.0,1.02426179,1.02443447,1.03229149,0.69072365,0.69859155,0.70208839,1.02642068,1.03188703,1.02494021,0.83232251,0.83446308,0.92543703,0.81825173,0.83247885,0.8487567
0.11724179,0.05833913,0.06976794,0.0783914,0.24533048,0.4309292,1.0,1.0,1.0,1.02443447,1.03229149,1.03557244,0.69859155,0.70208839,0.71005342,1.03188703,1.02494021,0.99077554,0.83446308,0.92543703,0.95683197,0.83247885,0.84875673,0.8709305
0.3289692,0.11094032,0.05904563,0.05574339,0.08999769,0.3553037,1.0,1.0,1.0,1.03229149,1.03557244,1.02685201,0.70208839,0.71005342,0.70461389,1.02494021,0.99077554,0.97574308,0.92543703,0.95683197,0.94791295,0.84875673,0.87093053,0.8569597
0.13831857,0.18266615,0.233842,0.15642165,0.16928111,0.1194705,1.0,1.0,1.0,1.03557244,1.02685201,1.03367294,0.71005342,0.70461389,0.70257407,0.99077554,0.97574308,0.97938731,0.95683197,0.94791295,0.91651802,0.87093053,0.85695975,0.8505511
0.07146891,0.06725863,0.7392321,0.03070102,0.05557207,0.0357673,1.0,1.0,1.0,1.02685201,1.03367294,1.05353134,0.70461389,0.70257407,0.70675085,0.97574308,0.97938731,0.99373648,0.94791295,0.91651802,0.92971816,0.85695975,0.85055114,0.8477313
0.1321207,0.1389851,0.04617754,0.33855262,0.31530917,0.0288548,1.0,1.0,1.0,1.03367294,1.05353134,1.07822483,0.70257407,0.70675085,0.70917921,0.97938731,0.99373648,0.97938731,0.91651802,0.92971816,0.9311452,0.85055114,0.84773135,0.8523455
0.05195933,0.20937826,0.21451767,0.19360809,0.27879626,0.0517403,1.0,1.0,1.0,1.05353134,1.07822483,1.09186669,0.70675085,0.70917921,0.72452647,0.99373648,0.97938731,0.99191436,0.92971816,0.9311452,0.96717802,0.84773135,0.85234555,0.8681107
0.18902174,0.2602219,0.11649262,0.09327244,0.1827788,0.1582125,1.0,1.0,1.0,1.07822483,1.09186669,1.09721982,0.70917921,0.72452647,0.7431763,0.97938731,0.99191436,1.0141214,0.9311452,0.96717802,0.97395648,0.85234555,0.86811074,0.8640092
0.3486486,0.11788519,0.16925983,0.17054857,0.15353568,0.0401221,1.0,1.0,1.0,1.09186669,1.09721982,1.10369539,0.72452647,0.7431763,0.74919864,0.99191436,1.0141214,0.9890673,0.96717802,0.97395648,0.94898323,0.86811074,0.86400923,0.8679825
0.03693336,0.07798617,0.0461688,0.7269901,0.05206769,0.0598538,1.0,1.0,1.0,1.09721982,1.10369539,1.11137973,0.7431763,0.74919864,0.75502671,1.0141214,0.9890673,0.9878146,0.97395648,0.94898323,0.99964324,0.86400923,0.86798257,0.8623429
0.19446646,0.08969245,0.43353105,0.07234102,0.07166171,0.1383073,1.0,1.0,1.0,1.10369539,1.11137973,1.10904852,0.74919864,0.75502671,0.75502671,0.9890673,0.9878146,0.98952283,0.94898323,0.99964324,0.9764538,0.86798257,0.86234299,0.8623429
0.40001068,0.04174207,0.1351531,0.1656846,0.10810366,0.1493058,1.0,1.0,1.0,1.11137973,1.10904852,1.11811432,0.75502671,0.75502671,0.76299174,0.9878146,0.98952283,0.98667578,0.99964324,0.9764538,0.97252943,0.86234299,0.86234299,0.8747757
0.11975556,0.41959783,0.11524548,0.11297387,0.18725936,0.0451679,1.0,1.0,1.0,1.10904852,1.11811432,1.14833362,0.75502671,0.76299174,0.75862069,0.98952283,0.98667578,0.97335155,0.9764538,0.97252943,0.96432394,0.86234299,0.8747757,0.8747757
0.12345535,0.2703873,0.07007612,0.20193924,0.05518323,0.2789587,1.0,1.0,1.0,1.11811432,1.14833362,1.14116733,0.76299174,0.75862069,0.75454104,0.98667578,0.97335155,0.96446874,0.97252943,0.96432394,0.98965394,0.8747757,0.8747757,0.8731094
