State,Action
[[[[1.0 1.0 1.0 1.0 ]] [[1.09721982 1.09894664 1.08487308 1.09894664]] [[0.7431763 0.74424478 0.72627489 0.72831472]] [[1.0141214 1.01696845 0.99817788 1.00444141]] [[0.97395648 0.97966465 0.97038887 0.97074563]] [[0.86400923 0.87400666 0.86118944 0.87400666]]]],[[0.04899319 0.14754234 0.53744715 0.13978519 0.03799163 0.08824056]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.10369539 1.11276118 1.09583837 1.1007598 ]] [[0.74919864 0.75007285 0.74123361 0.74473045]] [[0.9890673 1.0134381 0.98735907 1.01104658]] [[0.94898323 0.9511238 0.93828041 0.9411345 ]] [[0.86798257 0.87157139 0.86477826 0.86990515]]]],[[0.05427519 0.0996007 0.1462722 0.23714726 0.41687322 0.04583143]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.11137973 1.11189777 1.10041444 1.10188223]] [[0.75502671 0.75764934 0.7459932 0.74813016]] [[0.9878146 0.99567247 0.98508143 0.99191436]] [[0.99964324 1.00321085 0.95932929 0.96361042]] [[0.86234299 0.86836709 0.85926685 0.86798257]]]],[[0.13499686 0.19566198 0.14792266 0.16173999 0.22845569 0.13122286]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.10904852 1.11405629 1.10801243 1.10930755]] [[0.75502671 0.75706654 0.74987858 0.75201554]] [[0.98952283 1.00068329 0.98747295 0.98861178]] [[0.9764538 0.98073493 0.96860507 0.97252943]] [[0.86234299 0.86541912 0.85875417 0.86541912]]]],[[0.21326701 0.13550137 0.21838532 0.03991024 0.23015401 0.16278207]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.11811432 1.11811432 1.10559489 1.11051632]] [[0.76299174 0.76308888 0.74987858 0.75531812]] [[0.98667578 0.99407812 0.98371484 0.99362259]] [[0.97252943 0.97431324 0.95932929 0.96361042]] [[0.8747757 0.8747757 0.8558062 0.86208664]]]],[[0.16182749 0.3012557 0.21023297 0.11968752 0.03229295 0.17470339]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.14833362 1.14833362 1.11949577 1.12260404]] [[0.75862069 0.76435163 0.75560952 0.76396309]] [[0.97335155 0.98713131 0.97084615 0.98519531]] [[0.96432394 0.9664645 0.96111309 0.96503746]] [[0.8747757 0.87580108 0.86593181 0.87464753]]]],[[0.09753123 0.42484403 0.02933572 0.08458444 0.02655639 0.33714813]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.14116733 1.15351407 1.13253324 1.14781558]] [[0.75454104 0.75794075 0.74871297 0.75794075]] [[0.96446874 0.97403485 0.95524428 0.97403485]] [[0.98965394 0.99215127 0.97859436 0.97966465]] [[0.87310946 0.87733914 0.86887977 0.87733914]]]],[[0.06932075 0.5741077 0.03640007 0.10404205 0.06804803 0.14808139]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.11198411 1.1362459 1.1064583 1.13590054]] [[0.75832929 0.76192326 0.75250121 0.75531812]] [[0.98155108 0.98883954 0.96071063 0.96093839]] [[0.98787014 0.99286479 0.98358901 0.98465929]] [[0.8747757 0.87874904 0.86913612 0.86913612]]]],[[0.08856671 0.50079674 0.1099656 0.04539137 0.13103284 0.12424674]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.12597133 1.12994302 1.0931618 1.11189777]] [[0.76697426 0.76804274 0.75784361 0.76075765]] [[0.97221273 0.99259765 0.97027673 0.98986448]] [[1.00356761 1.00856225 0.99892972 1.0 ]] [[0.87721097 0.87951807 0.87157139 0.87541656]]]],[[0.09455239 0.23868775 0.19084637 0.1220507 0.27704543 0.0768173 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.10913486 1.12735279 1.10723537 1.12243136]] [[0.76833414 0.77999029 0.76668286 0.76969403]] [[0.96936568 0.98576472 0.96799909 0.9788179 ]] [[1.01034606 1.02211916 1.0099893 1.01676775]] [[0.86939246 0.87862087 0.86939246 0.87631377]]]],[[0.12653744 0.27663574 0.03366206 0.13881077 0.31953725 0.10481665]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.11457434 1.1248489 1.10775341 1.11595579]] [[0.77503643 0.77503643 0.76464303 0.76872268]] [[0.95661086 0.96822685 0.95376381 0.96799909]] [[1.00285408 1.00356761 0.99500535 0.99714592]] [[0.89169444 0.89169444 0.8793899 0.88669572]]]],[[0.10964441 0.23134  0.36034814 0.16948976 0.08610342 0.04307425]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.11690554 1.118287 1.10594025 1.11345191]] [[0.76726566 0.77697912 0.76707139 0.77348227]] [[0.92905136 0.9480697 0.91139961 0.94465323]] [[0.99286479 0.99857296 0.98929718 0.99750268]] [[0.88220969 0.89284799 0.87644194 0.89284799]]]],[[0.1925834 0.19628963 0.0356428 0.0812906 0.2550384 0.23915516]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.10982559 1.11863236 1.10792609 1.11466068]] [[0.75405537 0.7648373 0.74919864 0.7645459 ]] [[0.97357932 0.97745132 0.91299396 0.91413279]] [[0.99500535 0.99607563 0.98537281 0.99215127]] [[0.87721097 0.881697 0.87234043 0.881697 ]]]],[[0.1570232 0.17173691 0.2523823 0.05441022 0.09913132 0.26531607]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09143499 1.11163875 1.08582283 1.11017095]] [[0.76367169 0.7645459 0.75084993 0.75376396]] [[0.98052614 0.98246213 0.95672475 0.97654026]] [[1.00107028 1.00392437 0.99643239 0.9982162 ]] [[0.87836452 0.88156883 0.87721097 0.88118431]]]],[[0.20071696 0.23093152 0.07731405 0.09300271 0.10902516 0.2890096 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09307546 1.11699188 1.09013987 1.10861682]] [[0.75327829 0.76250607 0.74842156 0.7594949 ]] [[0.96116615 0.97938731 0.95718028 0.97642638]] [[0.98144845 0.99143775 0.98073493 0.98965394]] [[0.86298385 0.87951807 0.86272751 0.87605742]]]],[[0.22754115 0.0844959 0.13921773 0.08448918 0.14711362 0.3171424 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09773787 1.1187187 1.07977897 1.10481782]] [[0.7569694 0.75998057 0.75211268 0.75531812]] [[0.93987017 0.96059674 0.92791254 0.96059674]] [[0.97288619 0.97431324 0.9664645 0.96860507]] [[0.86977698 0.87221225 0.86221482 0.86682902]]]],[[0.21190077 0.13169485 0.24860825 0.23714532 0.07774071 0.09291013]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.07503022 1.0984286 1.06890002 1.09143499]] [[0.73822244 0.75075279 0.7381253 0.75036425]] [[0.94488099 0.94693087 0.91846031 0.92347113]] [[0.94791295 0.9529076 0.94648591 0.95041027]] [[0.84978211 0.86477826 0.84978211 0.86400923]]]],[[0.13712402 0.29243714 0.05656379 0.3244232 0.10649407 0.08295777]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.05543084 1.07727508 1.05430841 1.0771024 ]] [[0.73831957 0.74579893 0.73511413 0.73734823]] [[0.93372053 0.94955017 0.92460995 0.94522264]] [[0.95754549 0.95932929 0.95397788 0.95611844]] [[0.84837221 0.85670341 0.8428608 0.851192 ]]]],[[0.3627375 0.12678307 0.22937055 0.05812291 0.18150039 0.04148552]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.07451217 1.07839751 1.05016405 1.05603523]] [[0.75182127 0.75220981 0.73793103 0.73958232]] [[0.93292336 0.94408382 0.92848195 0.93497324]] [[0.96789154 0.96824831 0.96396718 0.96396718]] [[0.86375288 0.86516278 0.85337093 0.85362728]]]],[[0.14658624 0.25416115 0.01770927 0.0812422 0.4379562 0.06234494]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.06708686 1.08271456 1.05836643 1.07408047]] [[0.75395823 0.75823215 0.74424478 0.74968431]] [[0.93224006 0.93292336 0.9198269 0.93155677]] [[0.94755619 0.95005351 0.94220478 0.95005351]] [[0.84926942 0.86144578 0.84747501 0.86144578]]]],[[0.30335844 0.11800694 0.2801138 0.1078383 0.04169665 0.14898588]]
