Action_Cash,Action_AAPL,Action_ADBE,Action_BABA,Action_SNE,Action_V,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1,Wealth,Return,Price_Cash,Price_AAPL,Price_ADBE,Price_BABA,Price_SNE,Price_V
0.05520173,0.08680428,0.07350487,0.53196084,0.11743024,0.13509794,1.0,1.0,1.0,1.0,1.05353134,1.05465377,1.03747194,1.03755828,0.70675085,0.71092763,0.70043711,0.70849927,0.99373648,0.996128,0.98530919,0.99088942,0.92971816,0.93221548,0.9193720999999999,0.92400999,0.84773135,0.85836965,0.84478339,0.85478083,9899.577413444229,0.014965274577067466,1.000,1.013,1.022,1.013,1.039,1.018
0.08618524,0.3026698,0.12096545,0.06146663,0.15540820000000002,0.2733047,1.0,1.0,1.0,1.0,1.07822483,1.0785702,1.0576756999999999,1.06000691,0.70917921,0.71044196,0.70276833,0.70694512,0.97938731,0.9987473,0.97733743,0.99738071,0.9311451999999999,0.93328577,0.92365323,0.92365323,0.85234555,0.85337093,0.84670597,0.84914125,9934.241989058788,0.003495505349423674,1.000,1.005,1.026,1.022,1.007,0.995
0.16142254,0.1390666,0.28214532,0.08569031,0.17192033,0.15975489,1.0,1.0,1.0,1.0,1.09186669,1.10067346,1.08418235,1.08841305,0.72452647,0.72608062,0.71209325,0.71491015,0.99191436,1.00558023,0.97426261,0.97483202,0.96717802,0.96824831,0.95148056,0.95183732,0.86811074,0.86811074,0.8558062,0.85760062,9895.721029823879,-0.0038851315710428727,1.000,1.006,1.008,0.975,0.974,1.005
0.18688233,0.04987212,0.30378574,0.16614491,0.11295412,0.18036075,1.0,1.0,1.0,1.0,1.09721982,1.09894664,1.08487308,1.09894664,0.7431763000000001,0.74424478,0.72627489,0.72831472,1.0141214,1.01696845,0.99817788,1.00444141,0.97395648,0.97966465,0.97038887,0.97074563,0.86400923,0.87400666,0.86118944,0.87400666,9961.847786179616,0.00666013059324551,1.000,1.007,1.008,0.999,1.053,0.994
0.10050496,0.06996437,0.3080478,0.16260245,0.13495414,0.22392620000000002,1.0,1.0,1.0,1.0,1.10369539,1.11276118,1.09583837,1.1007598,0.74919864,0.75007285,0.74123361,0.74473045,0.9890673000000001,1.0134381,0.98735907,1.01104658,0.94898323,0.9511238000000001,0.93828041,0.9411345,0.86798257,0.87157139,0.86477826,0.86990515,9929.585302327741,-0.0032438600073537364,1.000,0.998,1.000,1.002,0.977,1.000
0.07276731,0.22776367,0.26156205,0.08546609,0.08630953,0.26613134,1.0,1.0,1.0,1.0,1.11137973,1.11189777,1.10041444,1.10188223,0.75502671,0.75764934,0.7459932,0.74813016,0.9878146000000001,0.99567247,0.98508143,0.99191436,0.99964324,1.00321085,0.95932929,0.96361042,0.86234299,0.86836709,0.85926685,0.86798257,9998.420542155634,0.006908419651779401,1.000,1.008,1.011,0.997,0.996,1.014
0.31737155,0.13568970000000002,0.08619574,0.18236529999999998,0.15173621,0.12664148,1.0,1.0,1.0,1.0,1.10904852,1.11405629,1.10801243,1.10930755,0.75502671,0.75706654,0.74987858,0.75201554,0.98952283,1.00068329,0.98747295,0.98861178,0.9764538,0.98073493,0.96860507,0.97252943,0.86234299,0.86541912,0.85875417,0.86541912,9978.612591294192,-0.001983072983909334,1.000,1.027,0.994,0.986,0.992,1.000
0.09829301,0.21130094,0.25394496,0.1273068,0.20496254,0.10419171,1.0,1.0,1.0,1.0,1.11811432,1.11811432,1.10559489,1.11051632,0.76299174,0.76308888,0.74987858,0.75531812,0.98667578,0.99407812,0.98371484,0.99362259,0.97252943,0.97431324,0.95932929,0.96361042,0.8747756999999999,0.8747756999999999,0.8558062,0.86208664,9982.645320176134,0.00040405559155585503,1.000,0.994,0.995,0.991,1.026,0.998
0.07911454,0.06762017,0.43651999999999996,0.03399831,0.10262402,0.28012297,1.0,1.0,1.0,1.0,1.14833362,1.14833362,1.11949577,1.12260404,0.75862069,0.76435163,0.75560952,0.76396309,0.97335155,0.98713131,0.97084615,0.98519531,0.96432394,0.9664645000000001,0.96111309,0.96503746,0.8747756999999999,0.87580108,0.86593181,0.87464753,9979.353673430593,-0.000329791297597996,1.000,0.974,1.005,1.018,0.998,1.002
0.22089714,0.02986927,0.10118453,0.07298928,0.20667078,0.36838898,1.0,1.0,1.0,1.0,1.14116733,1.15351407,1.13253324,1.14781558,0.75454104,0.75794075,0.74871297,0.75794075,0.96446874,0.97403485,0.95524428,0.97403485,0.98965394,0.99215127,0.97859436,0.97966465,0.87310946,0.87733914,0.86887977,0.87733914,10015.616821607504,0.0036272309523868594,1.000,1.013,1.011,0.990,1.016,1.003
