Action1,Action2,Action3,Action4,Action5,Action6,State1.1.1,State1.2.1,State1.3.1,State2.1.1,State2.2.1,State2.3.1,State3.1.1,State3.2.1,State3.3.1,State4.1.1,State4.2.1,State4.3.1,State5.1.1,State5.2.1,State5.3.1,State6.1.1,State6.2.1,State6.3.1,Wealth,Return,Price1,Price2,Price3,Price4,Price5,Price6
0.6068723,0.050402300000000004,0.03953297,0.01833203,0.1481658,0.13669458,1.0,1.0,1.0,1.07451217,1.06708686,1.07882922,0.75182127,0.75395823,0.76085478,0.93292336,0.93224006,0.95661086,0.96789154,0.94755619,0.9211559000000001,0.86375288,0.84926942,0.86195847,10507.646354019542,0.0068992006463750935,1.000,1.011,0.965,1.001,1.051,1.012
0.12407833,0.08673328,0.13777524,0.05669664,0.35524184,0.23947461,1.0,1.0,1.0,1.06708686,1.07882922,1.09687446,0.75395823,0.76085478,0.77377368,0.93224006,0.95661086,0.96230498,0.94755619,0.9211559000000001,0.95433464,0.84926942,0.86195847,0.84747501,10462.141352098797,-0.004340060470483822,1.000,0.992,1.003,1.014,0.991,0.998
0.4319838,0.03621016,0.08367511,0.30038875,0.03758628,0.11015584,1.0,1.0,1.0,1.07882922,1.09687446,1.10922121,0.76085478,0.77377368,0.74686741,0.95661086,0.96230498,0.96332992,0.9211559000000001,0.95433464,1.00285408,0.86195847,0.84747501,0.85772879,10430.424957026338,-0.003036143953510164,1.000,0.987,1.003,0.994,1.002,1.009
0.17651938,0.24384284,0.23375675,0.20684382,0.06497524,0.07406193,1.0,1.0,1.0,1.09687446,1.10922121,1.10084614,0.77377368,0.74686741,0.74929577,0.96230498,0.96332992,0.97642638,0.95433464,1.00285408,0.99357831,0.84747501,0.85772879,0.85631889,10380.63323178596,-0.004785131039214404,1.000,1.010,0.987,0.989,0.995,0.995
0.14039052,0.03242457,0.10413387,0.32494146,0.13558084,0.26252875,1.0,1.0,1.0,1.10922121,1.10084614,1.0870316,0.74686741,0.74929577,0.75143273,0.96332992,0.97642638,0.97027673,1.00285408,0.99357831,0.99571887,0.85772879,0.85631889,0.86400923,10313.2157772826,-0.0065157229077092895,1.000,0.996,0.988,0.993,0.992,1.000
0.02030951,0.2528688,0.21659966,0.2988559,0.1116687,0.09969749,1.0,1.0,1.0,1.10084614,1.0870316,1.09834226,0.74929577,0.75143273,0.74162215,0.97642638,0.97027673,0.95945792,0.99357831,0.99571887,0.99108098,0.85631889,0.86400923,0.85977954,10108.921303269317,-0.02000782663524564,1.000,0.974,0.969,1.001,0.968,0.980
0.08171146,0.2359654,0.10798015,0.25865284,0.15813231,0.1575578,1.0,1.0,1.0,1.0870316,1.09834226,1.09385253,0.75143273,0.74162215,0.73288004,0.97027673,0.95945792,0.95239722,0.99571887,0.99108098,0.98358901,0.86400923,0.85977954,0.86003589,10116.807346187403,0.0007798031363305997,1.000,1.007,0.998,1.005,0.994,0.998
0.04336727,0.30415818,0.17000172,0.32903758,0.12588972,0.02754552,1.0,1.0,1.0,1.09834226,1.09385253,1.0652736999999999,0.74162215,0.73288004,0.71034483,0.95945792,0.95239722,0.95376381,0.99108098,0.98358901,0.95219408,0.85977954,0.86003589,0.84247629,10118.633697236479,0.0001805101307271965,1.000,0.992,1.005,1.005,1.009,0.999
0.35892470000000004,0.04899062,0.33393666,0.1210499,0.07016768,0.06693053,1.0,1.0,1.0,1.09385253,1.0652736999999999,1.07269902,0.73288004,0.71034483,0.70879068,0.95239722,0.95376381,0.95854686,0.98358901,0.95219408,0.94684267,0.86003589,0.84247629,0.84068188,10125.908446397096,0.0007186874785438594,1.000,1.025,1.004,0.992,1.012,1.002
0.43273249999999996,0.17652020000000002,0.05454382,0.21661717,0.06041488,0.05917142,1.0,1.0,1.0,1.0652736999999999,1.07269902,1.06415127,0.71034483,0.70879068,0.71209325,0.95376381,0.95854686,0.96321603,0.95219408,0.94684267,0.95540492,0.84247629,0.84068188,0.84004102,10061.339336354842,-0.006397041432210245,1.000,0.985,1.005,0.992,0.989,0.996
0.24758296,0.20048964,0.01619708,0.02715205,0.134638,0.37394023,1.0,1.0,1.0,1.07269902,1.06415127,1.09108962,0.70879068,0.71209325,0.71491015,0.95854686,0.96321603,0.95547204,0.94684267,0.95540492,0.9664645000000001,0.84068188,0.84004102,0.84157908,10052.960687738441,-0.0008331037213301484,1.000,0.999,1.015,0.989,1.018,0.996
0.34438357,0.18067314,0.07079586,0.05686936,0.15299799,0.19428009,1.0,1.0,1.0,1.06415127,1.09108962,1.07433949,0.71209325,0.71491015,0.71821272,0.96321603,0.95547204,0.94795581,0.95540492,0.9664645000000001,0.95540492,0.84004102,0.84157908,0.83837478,10102.830230675852,0.004948418536543593,1.000,1.009,1.008,0.999,1.022,1.002
0.12385391,0.07853786,0.29662254,0.03537686,0.23682605,0.22878283,1.0,1.0,1.0,1.09108962,1.07433949,1.07278536,0.71491015,0.71821272,0.72918893,0.95547204,0.94795581,0.93793418,0.9664645000000001,0.95540492,0.97252943,0.84157908,0.83837478,0.83542681,10249.304079596353,0.014394203154265522,1.000,1.016,1.007,0.994,1.054,0.999
0.18642179999999997,0.03449542,0.18334456,0.3142565,0.09357604,0.18790574,1.0,1.0,1.0,1.07433949,1.07278536,1.08202383,0.71821272,0.72918893,0.73511413,0.94795581,0.93793418,0.93702312,0.95540492,0.97252943,0.99357831,0.83837478,0.83542681,0.83683671,10236.369501560659,-0.0012627927222687793,1.000,0.989,0.992,1.005,0.987,1.009
0.2523318,0.18801917,0.03216241,0.35188282,0.10576574,0.06983811,1.0,1.0,1.0,1.07278536,1.08202383,1.09955103,0.72918893,0.73511413,0.74045653,0.93793418,0.93702312,0.93178453,0.97252943,0.99357831,1.0470924000000001,0.83542681,0.83683671,0.83568316,10384.59052967356,0.014376011651511962,1.000,0.997,0.997,1.039,1.019,1.011
0.04289754,0.04912362,0.07901143,0.44817045,0.2792038,0.10159314,1.0,1.0,1.0,1.08202383,1.09955103,1.08798135,0.73511413,0.74045653,0.73482273,0.93702312,0.93178453,0.93622594,0.99357831,1.0470924000000001,1.0335355,0.83683671,0.83568316,0.84337349,10462.621351648118,0.007486006936977394,1.000,1.008,1.012,1.009,1.013,0.999
0.37185758,0.00127011,0.08512051,0.03276048,0.1452029,0.36378843,1.0,1.0,1.0,1.09955103,1.08798135,1.08444137,0.74045653,0.73482273,0.7327829,0.93178453,0.93622594,0.9724405,1.0470924000000001,1.0335355,1.05315733,0.83568316,0.84337349,0.85234555,10464.105726344762,0.00014186400898732256,1.000,1.004,1.003,0.982,1.022,0.998
0.10139924,0.19339724,0.34370005,0.15697663,0.11702,0.08750686,1.0,1.0,1.0,1.08798135,1.08444137,1.0927301,0.73482273,0.7327829,0.74142788,0.93622594,0.9724405,0.98098166,1.0335355,1.05315733,1.06671423,0.84337349,0.85234555,0.85157652,10389.661844279306,-0.0071396401672876985,1.000,0.998,0.993,0.996,0.994,0.989
0.09168173,0.1340644,0.48917657,0.03892647,0.20718317,0.03896764,1.0,1.0,1.0,1.08444137,1.0927301,1.09739251,0.7327829,0.74142788,0.74337057,0.9724405,0.98098166,0.96321603,1.05315733,1.06671423,1.09026044,0.85234555,0.85157652,0.8502948,10423.786316543275,0.003279082118147502,1.000,0.996,0.999,1.009,1.025,0.999
0.08879296,0.10255644,0.19359389999999999,0.48968977,0.0918842,0.03348276,1.0,1.0,1.0,1.0927301,1.09739251,1.09523398,0.74142788,0.74337057,0.73841671,0.98098166,0.96321603,0.95979957,1.06671423,1.09026044,1.08348198,0.85157652,0.8502948,0.84093822,10406.71116167481,-0.0016394383965925518,1.000,1.004,1.001,0.996,1.020,1.002
0.31977245,0.13221048,0.09993457,0.30141258,0.11555224,0.03111775,1.0,1.0,1.0,1.09739251,1.09523398,1.09048524,0.74337057,0.73841671,0.73773677,0.96321603,0.95979957,0.96799909,1.09026044,1.08348198,1.11059579,0.8502948,0.84093822,0.83991284,10331.157822650364,-0.007286541675526189,1.000,0.995,0.988,0.993,0.979,1.000
0.18581218,0.21754201,0.17384346,0.12213536,0.2204143,0.08025271,1.0,1.0,1.0,1.09523398,1.09048524,1.0946296,0.73841671,0.73773677,0.73851384,0.95979957,0.96799909,0.96424097,1.08348198,1.11059579,1.13271495,0.84093822,0.83991284,0.84183543,10120.269279897939,-0.02062408816901004,1.000,0.989,0.973,0.974,0.966,0.983
0.05993057,0.12740187,0.31702775,0.02702129,0.12522982,0.3433887,1.0,1.0,1.0,1.09048524,1.0946296,1.0893628,0.73773677,0.73851384,0.729966,0.96799909,0.96424097,0.95729416,1.11059579,1.13271495,1.10881199,0.83991284,0.84183543,0.84145091,10192.527135882447,0.007114545855079314,1.000,1.023,1.011,1.004,1.012,1.003
0.32597455,0.14449297,0.11175581,0.2605674,0.09023152,0.06697781,1.0,1.0,1.0,1.0946296,1.0893628,1.0771024,0.73851384,0.729966,0.7105391,0.96424097,0.95729416,0.93269559,1.13271495,1.10881199,1.0706386,0.84183543,0.84145091,0.82696744,10205.446374957271,0.0012667180683857125,1.000,0.995,1.009,1.003,1.017,1.010
0.22459055,0.21729602,0.16720589,0.13299637,0.08693233,0.17097886,1.0,1.0,1.0,1.0893628,1.0771024,1.10170955,0.729966,0.7105391,0.71801846,0.95729416,0.93269559,0.93611206,1.10881199,1.0706386,1.08312522,0.84145091,0.82696744,0.82953089,10353.354115885084,0.014389000265601441,1.000,1.013,1.012,0.996,1.048,1.041
0.25190029999999997,0.07349119999999999,0.23654038,0.12659393,0.16290563,0.14856853,1.0,1.0,1.0,1.0771024,1.10170955,1.09575203,0.7105391,0.71801846,0.72481787,0.93269559,0.93611206,0.93861747,1.0706386,1.08312522,1.10167677,0.82696744,0.82953089,0.83760574,10296.660135005855,-0.005490952464885419,1.000,1.008,1.014,1.003,0.950,0.996
0.27466765,0.09504937,0.2044192,0.20241623,0.08585379,0.13759379,1.0,1.0,1.0,1.10170955,1.09575203,1.11051632,0.71801846,0.72481787,0.73336571,0.93611206,0.93861747,0.93440383,1.08312522,1.10167677,1.15412059,0.82953089,0.83760574,0.87169956,10367.001427274196,0.006808238100658911,1.000,1.005,1.000,1.028,1.020,0.996
0.14781871,0.15976869,0.21628417,0.1268942,0.31368070000000003,0.03555353,1.0,1.0,1.0,1.09575203,1.11051632,1.11958211,0.72481787,0.73336571,0.74327343,0.93861747,0.93440383,0.93702312,1.10167677,1.15412059,1.09596861,0.83760574,0.87169956,0.86798257,10372.419722244716,0.0005225116993121028,1.000,1.018,1.000,1.004,0.995,0.994
0.16142027,0.1176558,0.29945916,0.08650432,0.27267215,0.06228827,1.0,1.0,1.0,1.11051632,1.11958211,1.1248489,0.73336571,0.74327343,0.7434677,0.93440383,0.93702312,0.96310215,1.15412059,1.09596861,1.11808776,0.87169956,0.86798257,0.86490643,10308.052444743542,-0.006224953166850668,1.000,0.984,0.993,1.002,0.994,0.995
0.1104935,0.4000527,0.09780359,0.06370478,0.2211362,0.10680919,1.0,1.0,1.0,1.11958211,1.1248489,1.14531169,0.74327343,0.7434677,0.74356484,0.93702312,0.96310215,0.96686027,1.09596861,1.11808776,1.11273635,0.86798257,0.86490643,0.86003589,10206.469919962867,-0.009903555466189838,1.000,0.985,1.008,0.969,0.990,1.009
0.29688677,0.2937338,0.07934081,0.06324832,0.11250232,0.15428793,1.0,1.0,1.0,1.1248489,1.14531169,1.12726645,0.7434677,0.74356484,0.73841671,0.96310215,0.96686027,0.96891015,1.11808776,1.11273635,1.10631466,0.86490643,0.86003589,0.8558062,10054.750275865115,-0.014976637982289704,1.000,0.973,0.992,0.986,0.985,0.981
0.11285277,0.36522257,0.21024278,0.11766331,0.15781106,0.03620749,1.0,1.0,1.0,1.14531169,1.12726645,1.110689,0.74356484,0.73841671,0.74453618,0.96686027,0.96891015,0.93895912,1.11273635,1.10631466,1.09525508,0.86003589,0.8558062,0.86311202,10198.519206245672,0.01419734679321934,1.000,1.030,1.005,0.999,1.022,0.996
