Wealth,Return,Weight1,Weight2,Weight3,Weight4,Weight5,Weight6,Price1,Price2,Price3,Price4,Price5,Price6
8137.693013025018,-0.0162359639099505,0.49,0.17,0.09,0.08,0.13,0.05,1.0,0.979,0.967,0.962,0.958,0.994
7755.358364334423,-0.0481227199052107,0.07,0.44,0.12,0.09,0.15,0.13,1.0,0.939,0.954,0.97,0.96,0.963
7411.8566151996,-0.0453030430248995,0.04,0.14,0.32,0.24,0.16,0.09,1.0,0.975,0.942,0.965,0.949,0.96
7455.857069861057,0.0059189441029595,0.11,0.39,0.2,0.05,0.16,0.08,1.0,1.006,1.004,1.042,1.023,0.98
7668.899205638897,0.0281731782210688,0.04,0.07,0.38,0.28,0.1,0.13,1.0,1.057,1.037,1.001,1.053,1.056
7804.978048601073,0.0175886558785545,0.26,0.13,0.13,0.06,0.13,0.29,1.0,1.029,1.02,1.032,1.033,1.024
7811.978887011601,0.0008965688908988,0.1,0.11,0.46,0.1,0.03,0.2,1.0,1.003,1.006,0.989,1.0,1.001
7679.012950871731,-0.0171672934972885,0.12,0.22,0.26,0.18,0.19,0.03,1.0,0.995,0.99,0.944,0.997,0.984
7445.177509490667,-0.0309245082471342,0.08,0.15,0.33,0.22,0.05,0.17,1.0,0.955,0.967,0.98,0.965,0.967
7607.284260637354,0.0215397349833858,0.07,0.32,0.04,0.06,0.29,0.23,1.0,1.043,1.017,1.011,1.024,1.01
7649.32909300857,0.0055117001179747,0.05,0.1,0.11,0.52,0.08,0.13,1.0,0.982,1.014,1.014,0.994,1.011
7494.193938475833,-0.0204893645288205,0.08,0.06,0.21,0.03,0.09,0.54,1.0,0.99,0.982,0.961,0.97,0.982
7598.678828129113,0.0138458145731609,0.1,0.45,0.08,0.08,0.13,0.16,1.0,1.028,1.038,0.953,1.014,1.02
7774.622056656845,0.0228904530309251,0.04,0.04,0.01,0.57,0.11,0.23,1.0,0.981,0.984,1.051,1.006,0.987
7839.121157833015,0.0082618840562775,0.13,0.29,0.26,0.13,0.11,0.07,1.0,1.022,1.002,0.997,1.035,1.009
7905.486704068935,0.0084303070445363,0.05,0.1,0.11,0.5,0.13,0.11,1.0,1.015,1.006,1.013,1.009,1.008
7804.839276316529,-0.0128130765531331,0.07,0.13,0.17,0.25,0.21,0.17,1.0,1.01,0.991,0.969,0.992,0.989
7833.208404141189,0.003628222592138,0.11,0.08,0.3,0.05,0.39,0.08,1.0,1.008,1.014,1.036,0.995,1.007
7914.995156442912,0.0103868974389013,0.13,0.18,0.12,0.19,0.18,0.19,1.0,1.001,1.013,1.037,1.012,1.007
7889.581361112112,-0.003216007364261,0.06,0.08,0.31,0.07,0.18,0.3,1.0,0.979,0.997,0.982,1.011,1.0
7828.545098774921,-0.0077663924241325,0.1,0.27,0.16,0.3,0.1,0.08,1.0,0.996,1.012,0.996,0.962,0.984
7686.277924599181,-0.018340030259956,0.03,0.08,0.06,0.71,0.08,0.04,1.0,1.016,1.025,0.972,1.002,1.014
7574.659475426449,-0.0146282546919697,0.22,0.17,0.07,0.11,0.39,0.05,1.0,0.984,1.016,0.969,0.983,0.993
7578.386389975037,0.0004919030347881,0.23,0.13,0.46,0.12,0.02,0.05,1.0,1.008,1.01,0.969,0.998,1.01
7529.146032711829,-0.0065186729705438,0.07,0.15,0.29,0.27,0.15,0.07,1.0,1.006,0.981,0.999,1.002,0.99
7512.849529144514,-0.0021668015891037,0.06,0.18,0.23,0.2,0.19,0.15,1.0,0.997,0.991,0.989,1.013,1.006
