State,Action
[[[[1.0 1.0 1.0 1.0 ]] [[1.09186669 1.10067346 1.08418235 1.08841305]] [[0.72452647 0.72608062 0.71209325 0.71491015]] [[0.99191436 1.00558023 0.97426261 0.97483202]] [[0.96717802 0.96824831 0.95148056 0.95183732]] [[0.86811074 0.86811074 0.8558062 0.85760062]]]],[[0.09049755 0.19073804 0.04929296 0.23097412 0.20987205 0.22862528]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09721982 1.09894664 1.08487308 1.09894664]] [[0.7431763 0.74424478 0.72627489 0.72831472]] [[1.0141214 1.01696845 0.99817788 1.00444141]] [[0.97395648 0.97966465 0.97038887 0.97074563]] [[0.86400923 0.87400666 0.86118944 0.87400666]]]],[[0.25284103 0.02721116 0.44980773 0.14479364 0.08059304 0.04475341]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.10369539 1.11276118 1.09583837 1.1007598 ]] [[0.74919864 0.75007285 0.74123361 0.74473045]] [[0.9890673 1.0134381 0.98735907 1.01104658]] [[0.94898323 0.9511238 0.93828041 0.9411345 ]] [[0.86798257 0.87157139 0.86477826 0.86990515]]]],[[0.17246044 0.17428705 0.05895904 0.06249581 0.34274894 0.18904878]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.11137973 1.11189777 1.10041444 1.10188223]] [[0.75502671 0.75764934 0.7459932 0.74813016]] [[0.9878146 0.99567247 0.98508143 0.99191436]] [[0.99964324 1.00321085 0.95932929 0.96361042]] [[0.86234299 0.86836709 0.85926685 0.86798257]]]],[[0.0722857 0.05038575 0.7777954 0.04068518 0.03523865 0.02360935]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.10904852 1.11405629 1.10801243 1.10930755]] [[0.75502671 0.75706654 0.74987858 0.75201554]] [[0.98952283 1.00068329 0.98747295 0.98861178]] [[0.9764538 0.98073493 0.96860507 0.97252943]] [[0.86234299 0.86541912 0.85875417 0.86541912]]]],[[0.07401853 0.44801798 0.10637397 0.07464348 0.17235282 0.12459321]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.11811432 1.11811432 1.10559489 1.11051632]] [[0.76299174 0.76308888 0.74987858 0.75531812]] [[0.98667578 0.99407812 0.98371484 0.99362259]] [[0.97252943 0.97431324 0.95932929 0.96361042]] [[0.8747757 0.8747757 0.8558062 0.86208664]]]],[[0.12040638 0.16857763 0.3041072 0.05977483 0.15696052 0.19017343]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.14833362 1.14833362 1.11949577 1.12260404]] [[0.75862069 0.76435163 0.75560952 0.76396309]] [[0.97335155 0.98713131 0.97084615 0.98519531]] [[0.96432394 0.9664645 0.96111309 0.96503746]] [[0.8747757 0.87580108 0.86593181 0.87464753]]]],[[0.23343737 0.20305082 0.05541074 0.07137393 0.18802242 0.24870472]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.14116733 1.15351407 1.13253324 1.14781558]] [[0.75454104 0.75794075 0.74871297 0.75794075]] [[0.96446874 0.97403485 0.95524428 0.97403485]] [[0.98965394 0.99215127 0.97859436 0.97966465]] [[0.87310946 0.87733914 0.86887977 0.87733914]]]],[[0.06549169 0.41512752 0.13117015 0.05988194 0.2634232 0.0649054 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.11198411 1.1362459 1.1064583 1.13590054]] [[0.75832929 0.76192326 0.75250121 0.75531812]] [[0.98155108 0.98883954 0.96071063 0.96093839]] [[0.98787014 0.99286479 0.98358901 0.98465929]] [[0.8747757 0.87874904 0.86913612 0.86913612]]]],[[0.06389682 0.2553894 0.15604661 0.12228272 0.1497573 0.25262713]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.12597133 1.12994302 1.0931618 1.11189777]] [[0.76697426 0.76804274 0.75784361 0.76075765]] [[0.97221273 0.99259765 0.97027673 0.98986448]] [[1.00356761 1.00856225 0.99892972 1.0 ]] [[0.87721097 0.87951807 0.87157139 0.87541656]]]],[[0.18381889 0.0348959 0.09539918 0.02707219 0.05705841 0.6017554 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.10913486 1.12735279 1.10723537 1.12243136]] [[0.76833414 0.77999029 0.76668286 0.76969403]] [[0.96936568 0.98576472 0.96799909 0.9788179 ]] [[1.01034606 1.02211916 1.0099893 1.01676775]] [[0.86939246 0.87862087 0.86939246 0.87631377]]]],[[0.07078689 0.0442388 0.05931365 0.03914441 0.05777544 0.7287408 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.11457434 1.1248489 1.10775341 1.11595579]] [[0.77503643 0.77503643 0.76464303 0.76872268]] [[0.95661086 0.96822685 0.95376381 0.96799909]] [[1.00285408 1.00356761 0.99500535 0.99714592]] [[0.89169444 0.89169444 0.8793899 0.88669572]]]],[[0.03670673 0.2582446 0.18352772 0.116373  0.06660845 0.33853948]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.11690554 1.118287 1.10594025 1.11345191]] [[0.76726566 0.77697912 0.76707139 0.77348227]] [[0.92905136 0.9480697 0.91139961 0.94465323]] [[0.99286479 0.99857296 0.98929718 0.99750268]] [[0.88220969 0.89284799 0.87644194 0.89284799]]]],[[0.11582541 0.07674272 0.01665764 0.09098542 0.3191529 0.3806359 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.10982559 1.11863236 1.10792609 1.11466068]] [[0.75405537 0.7648373 0.74919864 0.7645459 ]] [[0.97357932 0.97745132 0.91299396 0.91413279]] [[0.99500535 0.99607563 0.98537281 0.99215127]] [[0.87721097 0.881697 0.87234043 0.881697 ]]]],[[0.5449859 0.08556574 0.11641819 0.12317208 0.11501689 0.01484132]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09143499 1.11163875 1.08582283 1.11017095]] [[0.76367169 0.7645459 0.75084993 0.75376396]] [[0.98052614 0.98246213 0.95672475 0.97654026]] [[1.00107028 1.00392437 0.99643239 0.9982162 ]] [[0.87836452 0.88156883 0.87721097 0.88118431]]]],[[0.2648956 0.22430228 0.12097789 0.14171483 0.13592172 0.11218782]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09307546 1.11699188 1.09013987 1.10861682]] [[0.75327829 0.76250607 0.74842156 0.7594949 ]] [[0.96116615 0.97938731 0.95718028 0.97642638]] [[0.98144845 0.99143775 0.98073493 0.98965394]] [[0.86298385 0.87951807 0.86272751 0.87605742]]]],[[0.45798334 0.11760239 0.13307482 0.04810364 0.02451012 0.21872571]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09773787 1.1187187 1.07977897 1.10481782]] [[0.7569694 0.75998057 0.75211268 0.75531812]] [[0.93987017 0.96059674 0.92791254 0.96059674]] [[0.97288619 0.97431324 0.9664645 0.96860507]] [[0.86977698 0.87221225 0.86221482 0.86682902]]]],[[0.25457448 0.06405371 0.22306019 0.05905613 0.06380467 0.3354508 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.07503022 1.0984286 1.06890002 1.09143499]] [[0.73822244 0.75075279 0.7381253 0.75036425]] [[0.94488099 0.94693087 0.91846031 0.92347113]] [[0.94791295 0.9529076 0.94648591 0.95041027]] [[0.84978211 0.86477826 0.84978211 0.86400923]]]],[[0.11330102 0.14562072 0.10984459 0.17885424 0.21389136 0.23848808]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.05543084 1.07727508 1.05430841 1.0771024 ]] [[0.73831957 0.74579893 0.73511413 0.73734823]] [[0.93372053 0.94955017 0.92460995 0.94522264]] [[0.95754549 0.95932929 0.95397788 0.95611844]] [[0.84837221 0.85670341 0.8428608 0.851192 ]]]],[[0.5612467 0.09005186 0.14809206 0.04959352 0.07877505 0.07224081]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.07451217 1.07839751 1.05016405 1.05603523]] [[0.75182127 0.75220981 0.73793103 0.73958232]] [[0.93292336 0.94408382 0.92848195 0.93497324]] [[0.96789154 0.96824831 0.96396718 0.96396718]] [[0.86375288 0.86516278 0.85337093 0.85362728]]]],[[0.12639785 0.19683994 0.3162523 0.21108569 0.04070957 0.10871473]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.06708686 1.08271456 1.05836643 1.07408047]] [[0.75395823 0.75823215 0.74424478 0.74968431]] [[0.93224006 0.93292336 0.9198269 0.93155677]] [[0.94755619 0.95005351 0.94220478 0.95005351]] [[0.84926942 0.86144578 0.84747501 0.86144578]]]],[[0.12362875 0.22436932 0.10313039 0.12252228 0.28729475 0.13905445]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.07882922 1.07882922 1.06087032 1.06959074]] [[0.76085478 0.76338028 0.75570665 0.75968917]] [[0.95661086 0.97027673 0.93315112 0.9339483 ]] [[0.9211559 0.92329647 0.91616126 0.91794506]] [[0.86195847 0.86529095 0.85439631 0.85516534]]]],[[0.04277611 0.14484884 0.03789727 0.23054442 0.0374881 0.5064453 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09687446 1.099292 1.08487308 1.0870316 ]] [[0.77377368 0.7758135 0.75939777 0.7597863 ]] [[0.96230498 0.96913791 0.95103063 0.95672475]] [[0.95433464 0.96931859 0.94684267 0.96860507]] [[0.84747501 0.85990772 0.84632146 0.85901051]]]],[[0.22502103 0.07965878 0.4116613 0.03290822 0.06082318 0.18992747]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.10922121 1.11517873 1.09108962 1.0965291 ]] [[0.74686741 0.76075765 0.72608062 0.73336571]] [[0.96332992 0.9788179 0.94863911 0.9551304 ]] [[1.00285408 1.00963254 0.98929718 0.99714592]] [[0.85772879 0.85875417 0.82991541 0.84619328]]]],[[0.43923125 0.31129572 0.12029824 0.02915198 0.02203411 0.07798876]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.10084614 1.11595579 1.09998273 1.11163875]] [[0.74929577 0.751627 0.73132589 0.7428849 ]] [[0.97642638 0.99123107 0.96799909 0.96925179]] [[0.99357831 1.00035676 0.98858366 0.99892972]] [[0.85631889 0.86118944 0.84273263 0.85657524]]]],[[0.00891767 0.25474837 0.263743  0.23706706 0.04549743 0.19002645]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.0870316 1.10861682 1.08064238 1.10732171]] [[0.75143273 0.75726081 0.74609034 0.7544439 ]] [[0.97027673 0.98849789 0.96902403 0.98314543]] [[0.99571887 1.00249732 0.98965394 0.99714592]] [[0.86400923 0.86772622 0.85593438 0.86195847]]]],[[0.02730511 0.11877011 0.05827935 0.07769692 0.13981728 0.5781312 ]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09834226 1.10386807 1.09238473 1.09756519]] [[0.74162215 0.75084993 0.74152501 0.74900437]] [[0.95945792 0.97403485 0.95900239 0.97084615]] [[0.99108098 0.99785944 0.99072422 0.99464859]] [[0.85977954 0.87426301 0.85965137 0.87195591]]]],[[0.02589191 0.27692857 0.44808313 0.11365429 0.08733364 0.04810838]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.09385253 1.10550855 1.0927301 1.09851494]] [[0.73288004 0.74230209 0.7322001 0.73929092]] [[0.95239722 0.96230498 0.93827582 0.96059674]] [[0.98358901 0.98965394 0.98180521 0.98751338]] [[0.86003589 0.86759805 0.85670341 0.86003589]]]],[[0.16785175 0.11880732 0.26959026 0.14703698 0.14549953 0.15121411]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.0652737 1.09497496 1.0652737 1.09255742]] [[0.71034483 0.73423992 0.71024769 0.73336571]] [[0.95376381 0.96207721 0.94146453 0.95592757]] [[0.95219408 0.97966465 0.95041027 0.9782376 ]] [[0.84247629 0.86426557 0.84247629 0.86003589]]]],[[0.24767935 0.25605667 0.1238617 0.18281928 0.06377169 0.12581131]]
[[[[1.0 1.0 1.0 1.0 ]] [[1.07269902 1.07822483 1.05853911 1.05992057]] [[0.70879068 0.71257892 0.70053424 0.70354541]] [[0.95854686 0.96799909 0.94476711 0.94750028]] [[0.94684267 0.95005351 0.93970746 0.94077774]] [[0.84068188 0.84978211 0.83337606 0.83632402]]]],[[0.3019472 0.24625124 0.11501444 0.1920456 0.05708465 0.08765679]]
