,0,1,2,3
27,10559.169674920973,0.007070212242066247,"0.07,0.12,0.06,0.14,0.53,0.08","1.000,1.013,1.011,0.990,1.016,1.003"
28,10541.39303928867,-0.001684944622452508,"0.17,0.09,0.09,0.34,0.30,0.02","1.000,0.985,1.002,0.997,1.007,0.991"
29,10456.000841212672,-0.008133644520827743,"0.05,0.25,0.02,0.55,0.13,0.01","1.000,1.005,1.009,0.987,0.993,1.026"
30,10404.114075457328,-0.0049747446714214025,"0.64,0.11,0.10,0.03,0.09,0.03","1.000,1.002,0.990,0.971,0.990,0.989"
31,10455.273310301074,0.004905162023647845,"0.11,0.33,0.15,0.23,0.08,0.09","1.000,0.994,0.983,1.048,1.002,0.994"
32,10483.289968955794,0.002676083836411658,"0.18,0.03,0.06,0.52,0.07,0.14","1.000,0.983,1.013,1.007,1.006,1.001"
33,10390.371051942011,-0.008903041079516748,"0.42,0.14,0.18,0.09,0.03,0.15","1.000,1.002,0.986,0.980,0.980,0.982"
34,10398.676452357988,0.0007990169685384806,"0.25,0.10,0.21,0.04,0.13,0.27","1.000,1.004,1.005,0.978,0.991,1.008"
35,10313.37717883528,-0.008236726042936652,"0.12,0.09,0.10,0.51,0.13,0.05","1.000,0.979,0.975,1.005,0.974,0.977"
36,10215.195850269132,-0.009565406912011893,"0.07,0.27,0.05,0.25,0.09,0.27","1.000,0.982,1.000,0.988,1.010,0.998"
37,10261.868230253323,0.004558510987876379,"0.29,0.03,0.08,0.15,0.42,0.02","1.000,1.018,1.018,0.999,1.011,1.018"
38,10181.009890980815,-0.007910702246861833,"0.13,0.18,0.07,0.38,0.23,0.02","1.000,0.993,1.003,0.999,0.979,0.983"
39,10251.906968803754,0.006939524378736292,"0.20,0.15,0.10,0.17,0.10,0.28","1.000,1.011,1.009,1.026,0.972,1.015"
40,10342.345230872972,0.008782920841856296,"0.04,0.26,0.31,0.14,0.08,0.18","1.000,1.017,1.017,1.006,1.036,0.983"
41,10442.600666437818,0.009647002554520194,"0.18,0.25,0.07,0.06,0.13,0.32","1.000,1.011,0.965,1.001,1.051,1.012"
42,10407.079270219945,-0.0034073837769707494,"0.03,0.14,0.11,0.16,0.34,0.24","1.000,0.992,1.003,1.014,0.991,0.998"
43,10377.600426235724,-0.002836595432883468,"0.18,0.06,0.19,0.33,0.13,0.10","1.000,0.987,1.003,0.994,1.002,1.009"
44,10339.583077413827,-0.003670131269458739,"0.46,0.10,0.10,0.03,0.27,0.04","1.000,1.010,0.987,0.989,0.995,0.995"
45,10261.329785971946,-0.007597106820742541,"0.05,0.05,0.29,0.15,0.15,0.31","1.000,0.996,0.988,0.993,0.992,1.000"
46,10044.22976379018,-0.021384123353810743,"0.06,0.13,0.05,0.09,0.11,0.56","1.000,0.974,0.969,1.001,0.968,0.980"
47,10036.34951682517,-0.000784862553954467,"0.27,0.17,0.17,0.22,0.09,0.08","1.000,1.007,0.998,1.005,0.994,0.998"
48,10043.671675903037,0.0007292979755477599,"0.20,0.14,0.08,0.06,0.32,0.20","1.000,0.992,1.005,1.005,1.009,0.999"
49,10108.266256922341,0.006410778205109855,"0.07,0.08,0.04,0.12,0.48,0.21","1.000,1.025,1.004,0.992,1.012,1.002"
50,10008.813577863268,-0.009887467773562239,"0.06,0.29,0.15,0.19,0.21,0.11","1.000,0.985,1.005,0.992,0.989,0.996"
51,10049.426217475897,0.004049477474103142,"0.25,0.33,0.14,0.03,0.20,0.04","1.000,0.999,1.015,0.989,1.018,0.996"
52,10106.264680016995,0.005639956823626306,"0.20,0.16,0.44,0.05,0.10,0.05","1.000,1.009,1.008,0.999,1.022,1.002"
53,10187.871324089676,0.008042429982742733,"0.14,0.26,0.27,0.05,0.07,0.22","1.000,1.016,1.007,0.994,1.054,0.999"
54,10168.78417891442,-0.0018752737418981334,"0.33,0.15,0.02,0.31,0.07,0.12","1.000,0.989,0.992,1.005,0.987,1.009"
55,10266.872125479907,0.009599760182013917,"0.11,0.11,0.17,0.08,0.42,0.11","1.000,0.997,0.997,1.039,1.019,1.011"
56,10350.599195880075,0.008121998024124673,"0.03,0.09,0.20,0.27,0.29,0.12","1.000,1.008,1.012,1.009,1.013,0.999"
